settlementDate,settlementPeriodFrom,settlementPeriodTo,timeFrom,timeTo,levelFrom,levelTo,nationalGridBmUnit,bmUnit,acceptanceNumber,acceptanceTime,deemedBoFlag,soFlag,storFlag,rrFlag,direction,accepted_delta_mw
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:44:00+00:00,14,0,AG-AFLX03,2__AFLEX003,25152,2026-09-04 06:05:00+00:00,False,False,False,False,down,14
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,14,14,AG-AFLX03,2__AFLEX003,25152,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:43:00+00:00,16,0,AG-AFLX04,2__AFLEX004,25302,2026-09-04 06:05:00+00:00,False,False,False,False,down,16
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,16,16,AG-AFLX04,2__AFLEX004,25302,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:44:00+00:00,16,0,AG-AFLX05,2__AFLEX005,23891,2026-09-04 06:05:00+00:00,False,False,False,False,down,16
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,16,16,AG-AFLX05,2__AFLEX005,23891,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:42:00+00:00,27,0,AG-ASTK03,2__ASTAT003,25386,2026-09-04 06:05:00+00:00,False,False,False,False,down,27
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,27,27,AG-ASTK03,2__ASTAT003,25386,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:43:00+00:00,7,0,AG-BFLX03,2__BFLEX003,16440,2026-09-04 06:05:00+00:00,False,False,False,False,down,7
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,7,7,AG-BFLX03,2__BFLEX003,16440,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:40:00+00:00,18,0,AG-DEDF02,2__DLOND002,7831,2026-09-04 06:05:00+00:00,False,False,False,False,down,18
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,18,18,AG-DEDF02,2__DLOND002,7831,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:43:00+00:00,20,0,AG-DSTK01,2__DSTAT001,34162,2026-09-04 06:05:00+00:00,False,False,False,False,down,20
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,20,20,AG-DSTK01,2__DSTAT001,34162,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:45:00+00:00,5,0,AG-EEDF02,2__ELOND002,3087,2026-09-04 06:05:00+00:00,False,False,False,False,down,5
2026-09-04,15,16,2026-09-04 06:26:00+00:00,2026-09-04 06:38:00+00:00,5,5,AG-EEDF02,2__ELOND002,3087,2026-09-04 06:05:00+00:00,False,False,False,False,flat,0
2026-09-04,16,16,2026-09-04 06:38:00+00:00,2026-09-04 06:42:00+00:00,10,0,AG-EFLX02,2__EFLEX002,33323,2026-09-04 06:05:00+00:00,False,False,False,False,down,10
