bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-08-28,16,2,110.0,150.0,40.0,0,0,0
V__MCEND001,2026-08-28,17,2,135.0,150.0,15.0,0,0,0
V__MCEND001,2026-08-28,18,2,132.505,147.505,15.0,0,0,0
V__MCEND001,2026-08-28,19,2,135.0,150.0,15.0,1,1,1
V__MCEND001,2026-08-28,20,2,135.0,150.0,15.0,1,1,1
V__MCEND001,2026-08-28,21,2,135.0,150.0,15.0,1,1,0
V__MCEND001,2026-08-28,22,2,135.0,150.0,15.0,1,1,0
V__MCEND001,2026-08-28,23,2,102.0,142.5,40.5,0,0,0
V__MCEND001,2026-08-28,24,2,125.975,140.975,15.0,1,1,1
V__MCEND001,2026-08-28,25,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-08-28,26,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-08-28,27,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-08-28,28,2,127.5,142.5,15.0,0,0,0
V__MCEND001,2026-08-28,29,1,153.0,168.0,15.0,0,0,0
V__MCEND001,2026-08-28,30,2,127.5,135.0,7.5,0,0,0
V__MCEND001,2026-08-28,31,1,153.0,168.0,15.0,0,0,0
V__MCEND001,2026-08-28,32,2,127.5,135.0,7.5,1,0,0
V__MCEND001,2026-08-28,33,2,127.5,142.5,15.0,1,1,0
V__MCEND001,2026-08-28,34,2,127.5,142.5,15.0,0,0,0
V__MCEND001,2026-08-28,35,2,127.5,142.5,15.0,0,0,0
V__MCEND001,2026-08-28,36,2,127.5,142.5,15.0,1,1,0
V__MCEND001,2026-08-28,37,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-08-28,38,2,127.5,142.5,15.0,1,1,1
V__MCEND001,2026-08-28,39,2,129.0,144.0,15.0,1,1,1
V__MCEND001,2026-08-28,40,2,129.0,144.0,15.0,1,1,1
V__MCEND001,2026-08-28,41,2,105.0,136.5,31.5,1,1,1
V__MCEND001,2026-08-28,42,2,105.0,136.5,31.5,1,0,1
V__MCEND001,2026-08-28,43,1,105.0,120.0,15.0,1,1,1
V__MCEND001,2026-08-28,44,2,120.14500000000001,135.145,15.0,0,0,0
V__MCEND001,2026-08-28,45,2,84.23,133.615,49.385000000000005,1,1,1
V__MCEND001,2026-08-28,46,1,94.93,109.93,15.0,1,1,1
V__MCEND001,2026-08-28,47,2,93.99000000000001,108.99000000000001,15.0,1,1,0
V__MCEND001,2026-08-28,48,2,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-08-29,1,2,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-08-29,2,2,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-08-29,3,2,95.0,110.0,15.0,1,0,1
V__MCEND001,2026-08-29,4,2,95.0,110.0,15.0,1,1,1
V__MCEND001,2026-08-29,5,2,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-08-29,6,2,95.0,102.5,7.5,0,0,0
V__MCEND001,2026-08-29,7,1,120.0,135.0,15.0,0,0,0
V__MCEND001,2026-08-29,8,2,97.5,105.0,7.5,0,0,0
V__MCEND001,2026-08-29,9,2,97.5,105.0,7.5,0,0,0
V__MCEND001,2026-08-29,10,2,97.5,105.0,7.5,1,1,1
V__MCEND001,2026-08-29,11,2,100.0,107.5,7.5,1,1,1
V__MCEND001,2026-08-29,12,2,100.0,107.5,7.5,0,0,0
V__MCEND001,2026-08-29,13,2,100.0,107.5,7.5,0,0,0
V__MCEND001,2026-08-29,14,2,105.82,113.32,7.5,0,0,0
V__MCEND001,2026-08-29,15,2,123.315,130.815,7.5,0,0,0
V__MCEND001,2026-08-29,16,2,126.27,133.76999999999998,7.499999999999986,0,0,0
V__MCEND001,2026-08-29,17,2,129.45499999999998,136.95499999999998,7.5,0,0,0
V__MCEND001,2026-08-29,18,2,128.17000000000002,135.67000000000002,7.5,1,1,1
V__MCEND001,2026-08-29,19,2,127.495,142.495,15.0,0,0,0
V__MCEND001,2026-08-29,20,2,126.295,141.29500000000002,15.000000000000014,0,0,0
V__MCEND001,2026-08-29,21,2,124.495,139.495,15.0,1,1,1
V__MCEND001,2026-08-29,22,2,123.06,138.06,15.0,1,1,1
V__MCEND001,2026-08-29,23,2,135.35,150.35,15.0,0,0,0
V__MCEND001,2026-08-29,24,2,135.35,150.35,15.0,0,0,0
V__MCEND001,2026-08-29,25,2,134.875,149.875,15.0,1,1,1
V__MCEND001,2026-08-29,26,2,133.86,148.86,15.0,1,1,1
V__MCEND001,2026-08-29,27,2,134.45,149.45,15.0,0,0,0
V__MCEND001,2026-08-29,28,2,134.57999999999998,149.57999999999998,15.0,1,1,1
V__MCEND001,2026-08-29,29,2,133.535,148.535,15.0,1,1,1
V__MCEND001,2026-08-29,30,2,133.465,148.465,15.0,1,1,1
V__MCEND001,2026-08-29,31,2,136.0,151.0,15.0,1,0,1
V__MCEND001,2026-08-29,32,2,136.0,151.0,15.0,0,0,0
V__MCEND001,2026-08-29,33,2,112.0,151.0,39.0,0,0,0
V__MCEND001,2026-08-29,34,2,112.0,151.0,39.0,0,0,0
V__MCEND001,2026-08-29,35,2,112.0,151.0,39.0,1,1,1
V__MCEND001,2026-08-29,36,2,112.0,151.0,39.0,0,0,0
V__MCEND001,2026-08-29,37,2,112.0,151.0,39.0,0,0,0
V__MCEND001,2026-08-29,38,2,136.0,151.0,15.0,0,0,0
V__MCEND001,2026-08-29,39,2,112.61,153.305,40.69500000000001,0,0,0
V__MCEND001,2026-08-29,40,2,114.81,154.405,39.595,0,0,0
V__MCEND001,2026-08-29,41,2,133.29500000000002,148.29500000000002,15.0,0,0,0
V__MCEND001,2026-08-29,42,2,115.0,147.0,32.0,1,1,1
V__MCEND001,2026-08-29,43,2,115.0,147.0,32.0,1,1,1
V__MCEND001,2026-08-29,44,2,137.70499999999998,152.70499999999998,15.0,0,0,0
V__MCEND001,2026-08-29,45,2,137.7,152.7,15.0,0,0,0
V__MCEND001,2026-08-29,46,2,137.87,152.87,15.0,1,1,1
V__MCEND001,2026-08-29,47,2,92.0,131.0,39.0,1,1,0
V__MCEND001,2026-08-29,48,2,120.0,135.0,15.0,0,0,0
V__MCEND001,2026-08-30,1,2,92.0,131.0,39.0,1,0,1
V__MCEND001,2026-08-30,2,2,119.93,134.93,15.0,1,0,1
V__MCEND001,2026-08-30,3,2,92.0,131.0,39.0,0,0,0
