gsp_group,month,day_class,settlement_period,mean_daily_energy_share,observations
_A,1,saturday,1,0.0186368208659386,9
_A,1,saturday,2,0.019338375530230118,9
_A,1,saturday,3,0.019028286072324152,9
_A,1,saturday,4,0.018624723682322705,9
_A,1,saturday,5,0.018259130530073206,9
_A,1,saturday,6,0.01776578070580962,9
_A,1,saturday,7,0.01725341467269314,9
_A,1,saturday,8,0.016842791251034075,9
_A,1,saturday,9,0.01661004504961072,9
_A,1,saturday,10,0.016285865920137584,9
_A,1,saturday,11,0.01631295702096295,9
_A,1,saturday,12,0.016358005491931,9
_A,1,saturday,13,0.017052982252008228,9
_A,1,saturday,14,0.017707653361027045,9
_A,1,saturday,15,0.018535791924154246,9
_A,1,saturday,16,0.019371458243878946,9
_A,1,saturday,17,0.020418412183564404,9
_A,1,saturday,18,0.021089532132440497,9
_A,1,saturday,19,0.021594104724138155,9
_A,1,saturday,20,0.021332433782431545,9
_A,1,saturday,21,0.021086609807586656,9
_A,1,saturday,22,0.020790263427981223,9
_A,1,saturday,23,0.020390196343300592,9
_A,1,saturday,24,0.020258631417293525,9
_A,1,saturday,25,0.02049630638549474,9
_A,1,saturday,26,0.020836272992919624,9
_A,1,saturday,27,0.02106425652254292,9
_A,1,saturday,28,0.021260085928316994,9
_A,1,saturday,29,0.021511461096389253,9
_A,1,saturday,30,0.022176849929956957,9
_A,1,saturday,31,0.022906812035141604,9
_A,1,saturday,32,0.02356927716178449,9
_A,1,saturday,33,0.024624388663180605,9
_A,1,saturday,34,0.025524957460813607,9
_A,1,saturday,35,0.026539572883860107,9
_A,1,saturday,36,0.026692605144175586,9
_A,1,saturday,37,0.026634832881233098,9
_A,1,saturday,38,0.026123834870714336,9
_A,1,saturday,39,0.02541713996910796,9
_A,1,saturday,40,0.02488671560781157,9
_A,1,saturday,41,0.02430135420469216,9
_A,1,saturday,42,0.023378727737551473,9
_A,1,saturday,43,0.022520559567958922,9
_A,1,saturday,44,0.021819342297145064,9
_A,1,saturday,45,0.02073650807852194,9
_A,1,saturday,46,0.019664676839280706,9
_A,1,saturday,47,0.018470794892882787,9
_A,1,saturday,48,0.017898400455650568,9
_A,1,sunday,1,0.01828376916505617,8
_A,1,sunday,2,0.01918346637414743,8
_A,1,sunday,3,0.018929716500036962,8
_A,1,sunday,4,0.018414234756977017,8
_A,1,sunday,5,0.017992417453221953,8
_A,1,sunday,6,0.017623787474186796,8
_A,1,sunday,7,0.016972147619748978,8
_A,1,sunday,8,0.01661756133003456,8
_A,1,sunday,9,0.016276268971200165,8
_A,1,sunday,10,0.015910500884560308,8
_A,1,sunday,11,0.015622068041833139,8
_A,1,sunday,12,0.015539309124644754,8
