forecast_created_utc,settlement_date,settlement_period,valid_time_utc,forecast_market_index_price_gbp_per_mwh,naive_market_index_price_gbp_per_mwh
2026-09-25T15:14:37.013136+00:00,2026-09-26,1,2026-09-25 23:00:00+00:00,139.41384536658646,140.53
2026-09-25T15:14:37.013136+00:00,2026-09-26,2,2026-09-25 23:30:00+00:00,136.85365658253863,143.07
2026-09-25T15:14:37.013136+00:00,2026-09-26,3,2026-09-26 00:00:00+00:00,139.24865105380002,136.65
2026-09-25T15:14:37.013136+00:00,2026-09-26,4,2026-09-26 00:30:00+00:00,137.55517458465943,139.03
2026-09-25T15:14:37.013136+00:00,2026-09-26,5,2026-09-26 01:00:00+00:00,136.8763539160903,142.02
2026-09-25T15:14:37.013136+00:00,2026-09-26,6,2026-09-26 01:30:00+00:00,135.13665060782182,140.17
2026-09-25T15:14:37.013136+00:00,2026-09-26,7,2026-09-26 02:00:00+00:00,135.69443558000722,143.48
2026-09-25T15:14:37.013136+00:00,2026-09-26,8,2026-09-26 02:30:00+00:00,135.0214422725988,141.88
2026-09-25T15:14:37.013136+00:00,2026-09-26,9,2026-09-26 03:00:00+00:00,138.13036914292525,143.37
2026-09-25T15:14:37.013136+00:00,2026-09-26,10,2026-09-26 03:30:00+00:00,138.70169551603158,146.35
2026-09-25T15:14:37.013136+00:00,2026-09-26,11,2026-09-26 04:00:00+00:00,146.45187907533744,163.45
2026-09-25T15:14:37.013136+00:00,2026-09-26,12,2026-09-26 04:30:00+00:00,151.15635125552873,172.55
2026-09-25T15:14:37.013136+00:00,2026-09-26,13,2026-09-26 05:00:00+00:00,154.59219888848006,187.32
2026-09-25T15:14:37.013136+00:00,2026-09-26,14,2026-09-26 05:30:00+00:00,157.67194444492822,189.57
2026-09-25T15:14:37.013136+00:00,2026-09-26,15,2026-09-26 06:00:00+00:00,154.36904302061174,194.53
2026-09-25T15:14:37.013136+00:00,2026-09-26,16,2026-09-26 06:30:00+00:00,156.40090785948775,199.12
2026-09-25T15:14:37.013136+00:00,2026-09-26,17,2026-09-26 07:00:00+00:00,147.3034632761059,172.05
2026-09-25T15:14:37.013136+00:00,2026-09-26,18,2026-09-26 07:30:00+00:00,142.27889254375495,164.56
2026-09-25T15:14:37.013136+00:00,2026-09-26,19,2026-09-26 08:00:00+00:00,130.25856869353174,156.71
2026-09-25T15:14:37.013136+00:00,2026-09-26,20,2026-09-26 08:30:00+00:00,123.17094221966421,159.6
2026-09-25T15:14:37.013136+00:00,2026-09-26,21,2026-09-26 09:00:00+00:00,117.9682271496171,167.86
2026-09-25T15:14:37.013136+00:00,2026-09-26,22,2026-09-26 09:30:00+00:00,113.06882500022753,169.16
2026-09-25T15:14:37.013136+00:00,2026-09-26,23,2026-09-26 10:00:00+00:00,107.56558099878127,158.95
2026-09-25T15:14:37.013136+00:00,2026-09-26,24,2026-09-26 10:30:00+00:00,104.52157520708117,152.15
2026-09-25T15:14:37.013136+00:00,2026-09-26,25,2026-09-26 11:00:00+00:00,102.39438308180854,144.57
2026-09-25T15:14:37.013136+00:00,2026-09-26,26,2026-09-26 11:30:00+00:00,101.35319235459471,151.93
2026-09-25T15:14:37.013136+00:00,2026-09-26,27,2026-09-26 12:00:00+00:00,100.16075346776901,142.16
2026-09-25T15:14:37.013136+00:00,2026-09-26,28,2026-09-26 12:30:00+00:00,99.9058756820877,151.94
2026-09-25T15:14:37.013136+00:00,2026-09-26,29,2026-09-26 13:00:00+00:00,102.45271630307523,149.67
2026-09-25T15:14:37.013136+00:00,2026-09-26,30,2026-09-26 13:30:00+00:00,105.48151857252063,142.06
2026-09-25T15:14:37.013136+00:00,2026-09-26,31,2026-09-26 14:00:00+00:00,114.6022614338543,160.14
2026-09-25T15:14:37.013136+00:00,2026-09-26,32,2026-09-26 14:30:00+00:00,122.74744874501225,159.9
2026-09-25T15:14:37.013136+00:00,2026-09-26,33,2026-09-26 15:00:00+00:00,137.22940650582103,171.43
2026-09-25T15:14:37.013136+00:00,2026-09-26,34,2026-09-26 15:30:00+00:00,148.42675470861394,170.44
2026-09-25T15:14:37.013136+00:00,2026-09-26,35,2026-09-26 16:00:00+00:00,169.90451796839335,204.85
2026-09-25T15:14:37.013136+00:00,2026-09-26,36,2026-09-26 16:30:00+00:00,176.30813070475708,210.3
2026-09-25T15:14:37.013136+00:00,2026-09-26,37,2026-09-26 17:00:00+00:00,182.55872573776685,209.8
2026-09-25T15:14:37.013136+00:00,2026-09-26,38,2026-09-26 17:30:00+00:00,185.19973549480065,206.08
2026-09-25T15:14:37.013136+00:00,2026-09-26,39,2026-09-26 18:00:00+00:00,188.78451592053477,204.69
2026-09-25T15:14:37.013136+00:00,2026-09-26,40,2026-09-26 18:30:00+00:00,187.75781702222145,201.7
2026-09-25T15:14:37.013136+00:00,2026-09-26,41,2026-09-26 19:00:00+00:00,185.1321336712753,199.83
2026-09-25T15:14:37.013136+00:00,2026-09-26,42,2026-09-26 19:30:00+00:00,181.24016583350513,194.84
2026-09-25T15:14:37.013136+00:00,2026-09-26,43,2026-09-26 20:00:00+00:00,173.61545790316143,179.78
2026-09-25T15:14:37.013136+00:00,2026-09-26,44,2026-09-26 20:30:00+00:00,166.43422792885482,159.34
2026-09-25T15:14:37.013136+00:00,2026-09-26,45,2026-09-26 21:00:00+00:00,162.35461665189936,162.54
2026-09-25T15:14:37.013136+00:00,2026-09-26,46,2026-09-26 21:30:00+00:00,155.94679180936663,162.28
2026-09-25T15:14:37.013136+00:00,2026-09-26,47,2026-09-26 22:00:00+00:00,146.8001862294012,152.42
2026-09-25T15:14:37.013136+00:00,2026-09-26,48,2026-09-26 22:30:00+00:00,142.30917894654522,149.6
