sample_class,product,margin_bin,quantity_bin,orders,accepted_fraction_sum
nonlooped_parent,DCH,-0.5:0,0:1,37,10.0
nonlooped_parent,DCH,-0.5:0,10:25,958,494.0
nonlooped_parent,DCH,-0.5:0,1:5,399,260.0
nonlooped_parent,DCH,-0.5:0,5:10,339,207.0
nonlooped_parent,DCH,-0.5:0,>25,1276,582.0
nonlooped_parent,DCH,-10:-5,0:1,13,2.0
nonlooped_parent,DCH,-10:-5,10:25,196,114.0
nonlooped_parent,DCH,-10:-5,1:5,56,38.0
nonlooped_parent,DCH,-10:-5,5:10,51,27.0
nonlooped_parent,DCH,-10:-5,>25,210,112.0
nonlooped_parent,DCH,-1:-0.5,0:1,29,10.0
nonlooped_parent,DCH,-1:-0.5,10:25,769,432.0
nonlooped_parent,DCH,-1:-0.5,1:5,281,195.0
nonlooped_parent,DCH,-1:-0.5,5:10,263,170.0
nonlooped_parent,DCH,-1:-0.5,>25,857,426.0
nonlooped_parent,DCH,-2:-1,0:1,35,10.0
nonlooped_parent,DCH,-2:-1,10:25,778,460.0
nonlooped_parent,DCH,-2:-1,1:5,368,217.0
nonlooped_parent,DCH,-2:-1,5:10,279,170.0
nonlooped_parent,DCH,-2:-1,>25,995,494.0
nonlooped_parent,DCH,-5:-2,0:1,41,9.0
nonlooped_parent,DCH,-5:-2,10:25,805,543.0
nonlooped_parent,DCH,-5:-2,1:5,299,207.0
nonlooped_parent,DCH,-5:-2,5:10,281,189.0
nonlooped_parent,DCH,-5:-2,>25,894,510.0
nonlooped_parent,DCH,0.5:1,0:1,54,9.0
nonlooped_parent,DCH,0.5:1,10:25,1082,435.0
nonlooped_parent,DCH,0.5:1,1:5,335,138.0
nonlooped_parent,DCH,0.5:1,5:10,332,113.0
nonlooped_parent,DCH,0.5:1,>25,1312,412.0
nonlooped_parent,DCH,0:0.5,0:1,44,14.0
nonlooped_parent,DCH,0:0.5,10:25,1266,664.0
nonlooped_parent,DCH,0:0.5,1:5,366,186.0
nonlooped_parent,DCH,0:0.5,5:10,370,165.0
nonlooped_parent,DCH,0:0.5,>25,1547,667.0
nonlooped_parent,DCH,1:2,0:1,141,18.0
nonlooped_parent,DCH,1:2,10:25,1785,515.0
nonlooped_parent,DCH,1:2,1:5,520,199.0
nonlooped_parent,DCH,1:2,5:10,558,184.0
nonlooped_parent,DCH,1:2,>25,1796,325.0
nonlooped_parent,DCH,2:5,0:1,694,56.0
nonlooped_parent,DCH,2:5,10:25,2034,346.0
nonlooped_parent,DCH,2:5,1:5,803,279.0
nonlooped_parent,DCH,2:5,5:10,686,283.0
nonlooped_parent,DCH,2:5,>25,1764,121.0
nonlooped_parent,DCH,<-10,0:1,5,5.0
nonlooped_parent,DCH,<-10,10:25,11,3.0
nonlooped_parent,DCH,<-10,1:5,4,4.0
nonlooped_parent,DCH,<-10,5:10,6,3.0
nonlooped_parent,DCH,<-10,>25,9,1.0
nonlooped_parent,DCH,>5,0:1,1166,1.0
nonlooped_parent,DCH,>5,10:25,1057,76.0
nonlooped_parent,DCH,>5,1:5,237,52.0
nonlooped_parent,DCH,>5,5:10,467,58.0
nonlooped_parent,DCH,>5,>25,354,15.0
nonlooped_parent,DCL,-0.5:0,0:1,79,46.0
nonlooped_parent,DCL,-0.5:0,10:25,1227,515.0
nonlooped_parent,DCL,-0.5:0,1:5,89,80.0
nonlooped_parent,DCL,-0.5:0,5:10,257,99.0
nonlooped_parent,DCL,-0.5:0,>25,1382,592.0
nonlooped_parent,DCL,-10:-5,0:1,14,10.0
nonlooped_parent,DCL,-10:-5,10:25,807,174.0
nonlooped_parent,DCL,-10:-5,1:5,136,53.0
nonlooped_parent,DCL,-10:-5,5:10,215,48.0
nonlooped_parent,DCL,-10:-5,>25,1560,359.0
nonlooped_parent,DCL,-1:-0.5,0:1,71,55.0
nonlooped_parent,DCL,-1:-0.5,10:25,1248,615.0
nonlooped_parent,DCL,-1:-0.5,1:5,188,180.0
nonlooped_parent,DCL,-1:-0.5,5:10,273,137.0
nonlooped_parent,DCL,-1:-0.5,>25,1425,687.0
nonlooped_parent,DCL,-2:-1,0:1,84,63.0
nonlooped_parent,DCL,-2:-1,10:25,1853,862.0
nonlooped_parent,DCL,-2:-1,1:5,388,369.0
nonlooped_parent,DCL,-2:-1,5:10,432,299.0
nonlooped_parent,DCL,-2:-1,>25,2307,1182.0
nonlooped_parent,DCL,-5:-2,0:1,71,63.0
nonlooped_parent,DCL,-5:-2,10:25,2080,843.0
nonlooped_parent,DCL,-5:-2,1:5,370,329.0
nonlooped_parent,DCL,-5:-2,5:10,426,276.0
nonlooped_parent,DCL,-5:-2,>25,2774,1106.0
nonlooped_parent,DCL,0.5:1,0:1,42,11.0
nonlooped_parent,DCL,0.5:1,10:25,551,135.0
nonlooped_parent,DCL,0.5:1,1:5,19,7.0
nonlooped_parent,DCL,0.5:1,5:10,124,17.0
nonlooped_parent,DCL,0.5:1,>25,501,140.0
nonlooped_parent,DCL,0:0.5,0:1,64,31.0
nonlooped_parent,DCL,0:0.5,10:25,826,291.0
nonlooped_parent,DCL,0:0.5,1:5,41,34.0
nonlooped_parent,DCL,0:0.5,5:10,201,52.0
nonlooped_parent,DCL,0:0.5,>25,863,276.0
nonlooped_parent,DCL,1:2,0:1,17,8.0
nonlooped_parent,DCL,1:2,10:25,388,59.0
nonlooped_parent,DCL,1:2,1:5,29,9.0
nonlooped_parent,DCL,1:2,5:10,130,7.0
nonlooped_parent,DCL,1:2,>25,406,57.0
nonlooped_parent,DCL,2:5,0:1,9,0.0
nonlooped_parent,DCL,2:5,10:25,319,17.0
nonlooped_parent,DCL,2:5,1:5,10,0.0
nonlooped_parent,DCL,2:5,5:10,59,4.0
nonlooped_parent,DCL,2:5,>25,206,20.0
nonlooped_parent,DCL,<-10,0:1,4,3.0
nonlooped_parent,DCL,<-10,10:25,175,41.0
nonlooped_parent,DCL,<-10,1:5,10,2.0
nonlooped_parent,DCL,<-10,5:10,15,7.0
nonlooped_parent,DCL,<-10,>25,238,67.0
nonlooped_parent,DCL,>5,0:1,737,0.0
nonlooped_parent,DCL,>5,10:25,590,0.0
nonlooped_parent,DCL,>5,1:5,17,1.0
nonlooped_parent,DCL,>5,5:10,101,0.0
nonlooped_parent,DCL,>5,>25,249,0.0
nonlooped_parent,DMH,-0.5:0,10:25,245,67.0
nonlooped_parent,DMH,-0.5:0,1:5,21,8.0
nonlooped_parent,DMH,-0.5:0,5:10,22,4.0
nonlooped_parent,DMH,-0.5:0,>25,358,145.0
nonlooped_parent,DMH,-10:-5,10:25,133,43.0
nonlooped_parent,DMH,-10:-5,1:5,17,6.0
nonlooped_parent,DMH,-10:-5,5:10,18,3.0
nonlooped_parent,DMH,-10:-5,>25,184,54.0
nonlooped_parent,DMH,-1:-0.5,0:1,2,0.0
nonlooped_parent,DMH,-1:-0.5,10:25,220,49.0
nonlooped_parent,DMH,-1:-0.5,1:5,15,3.0
nonlooped_parent,DMH,-1:-0.5,5:10,18,2.0
nonlooped_parent,DMH,-1:-0.5,>25,299,95.0
nonlooped_parent,DMH,-2:-1,0:1,2,1.0
nonlooped_parent,DMH,-2:-1,10:25,300,85.0
nonlooped_parent,DMH,-2:-1,1:5,31,14.0
nonlooped_parent,DMH,-2:-1,5:10,36,7.0
nonlooped_parent,DMH,-2:-1,>25,410,129.0
nonlooped_parent,DMH,-5:-2,0:1,6,4.0
nonlooped_parent,DMH,-5:-2,10:25,424,104.0
nonlooped_parent,DMH,-5:-2,1:5,47,20.0
nonlooped_parent,DMH,-5:-2,5:10,63,19.0
nonlooped_parent,DMH,-5:-2,>25,494,163.0
nonlooped_parent,DMH,0.5:1,10:25,319,93.0
nonlooped_parent,DMH,0.5:1,1:5,38,17.0
nonlooped_parent,DMH,0.5:1,5:10,35,3.0
nonlooped_parent,DMH,0.5:1,>25,548,221.0
nonlooped_parent,DMH,0:0.5,0:1,1,0.0
nonlooped_parent,DMH,0:0.5,10:25,265,82.0
nonlooped_parent,DMH,0:0.5,1:5,24,11.0
nonlooped_parent,DMH,0:0.5,5:10,32,6.0
nonlooped_parent,DMH,0:0.5,>25,419,161.0
nonlooped_parent,DMH,1:2,0:1,3,2.0
nonlooped_parent,DMH,1:2,10:25,758,220.0
nonlooped_parent,DMH,1:2,1:5,82,21.0
nonlooped_parent,DMH,1:2,5:10,113,24.0
nonlooped_parent,DMH,1:2,>25,1437,524.0
nonlooped_parent,DMH,2:5,0:1,4,3.0
nonlooped_parent,DMH,2:5,10:25,2178,462.0
nonlooped_parent,DMH,2:5,1:5,240,44.0
nonlooped_parent,DMH,2:5,5:10,332,25.0
nonlooped_parent,DMH,2:5,>25,4693,1170.0
nonlooped_parent,DMH,<-10,0:1,4,3.0
nonlooped_parent,DMH,<-10,10:25,30,10.0
nonlooped_parent,DMH,<-10,1:5,3,1.0
nonlooped_parent,DMH,<-10,5:10,4,1.0
nonlooped_parent,DMH,<-10,>25,36,5.0
nonlooped_parent,DMH,>5,0:1,1,0.0
nonlooped_parent,DMH,>5,10:25,1228,116.0
nonlooped_parent,DMH,>5,1:5,111,13.0
nonlooped_parent,DMH,>5,5:10,247,28.0
nonlooped_parent,DMH,>5,>25,1302,184.0
nonlooped_parent,DML,-0.5:0,0:1,80,5.0
nonlooped_parent,DML,-0.5:0,10:25,286,24.0
nonlooped_parent,DML,-0.5:0,1:5,4,1.0
nonlooped_parent,DML,-0.5:0,5:10,55,7.0
nonlooped_parent,DML,-0.5:0,>25,325,51.0
nonlooped_parent,DML,-10:-5,0:1,146,35.0
nonlooped_parent,DML,-10:-5,10:25,2639,421.0
nonlooped_parent,DML,-10:-5,1:5,211,80.0
nonlooped_parent,DML,-10:-5,5:10,540,38.0
nonlooped_parent,DML,-10:-5,>25,4992,873.0
nonlooped_parent,DML,-1:-0.5,0:1,113,4.0
nonlooped_parent,DML,-1:-0.5,10:25,335,27.0
nonlooped_parent,DML,-1:-0.5,1:5,1,0.0
nonlooped_parent,DML,-1:-0.5,5:10,46,1.0
nonlooped_parent,DML,-1:-0.5,>25,389,63.0
nonlooped_parent,DML,-2:-1,0:1,175,6.0
