product,margin_bin,quantity_bin,orders,accepted_fraction_sum,sample_class,source_month
DCH,-0.5:0,10:25,1,0.0,standalone_parent,202604
DCH,-0.5:0,>25,5,4.0,standalone_parent,202604
DCH,-10:-5,>25,4,3.0,standalone_parent,202604
DCH,-1:-0.5,10:25,2,0.0,standalone_parent,202604
DCH,-1:-0.5,>25,1,0.0,standalone_parent,202604
DCH,-2:-1,10:25,1,0.0,standalone_parent,202604
DCH,-2:-1,5:10,1,0.0,standalone_parent,202604
DCH,-2:-1,>25,9,5.0,standalone_parent,202604
DCH,-5:-2,>25,7,4.0,standalone_parent,202604
DCH,0.5:1,>25,2,0.0,standalone_parent,202604
DCH,0:0.5,10:25,1,0.0,standalone_parent,202604
DCH,0:0.5,5:10,1,1.0,standalone_parent,202604
DCH,0:0.5,>25,4,2.0,standalone_parent,202604
DCH,1:2,5:10,9,0.0,standalone_parent,202604
DCH,2:5,5:10,5,1.0,standalone_parent,202604
DCH,2:5,>25,2,0.0,standalone_parent,202604
DCL,-0.5:0,0:1,24,15.0,standalone_parent,202604
DCL,-0.5:0,5:10,1,0.0,standalone_parent,202604
DCL,-0.5:0,>25,3,0.0,standalone_parent,202604
DCL,-10:-5,0:1,10,9.0,standalone_parent,202604
DCL,-1:-0.5,0:1,27,22.0,standalone_parent,202604
DCL,-2:-1,0:1,34,27.0,standalone_parent,202604
DCL,-2:-1,>25,2,0.0,standalone_parent,202604
DCL,-5:-2,0:1,37,36.0,standalone_parent,202604
DCL,-5:-2,10:25,2,0.0,standalone_parent,202604
DCL,-5:-2,1:5,1,0.0,standalone_parent,202604
DCL,-5:-2,>25,2,0.0,standalone_parent,202604
DCL,0.5:1,0:1,18,8.0,standalone_parent,202604
DCL,0.5:1,>25,3,0.0,standalone_parent,202604
DCL,0:0.5,0:1,20,10.0,standalone_parent,202604
DCL,0:0.5,5:10,1,0.0,standalone_parent,202604
DCL,0:0.5,>25,1,0.0,standalone_parent,202604
DCL,1:2,0:1,9,5.0,standalone_parent,202604
DCL,1:2,>25,5,0.0,standalone_parent,202604
DCL,2:5,0:1,1,0.0,standalone_parent,202604
DCL,2:5,>25,11,0.0,standalone_parent,202604
DMH,-0.5:0,1:5,1,0.0,standalone_parent,202604
DMH,-0.5:0,5:10,1,1.0,standalone_parent,202604
DMH,-0.5:0,>25,6,3.0,standalone_parent,202604
DMH,-10:-5,5:10,3,1.0,standalone_parent,202604
DMH,-10:-5,>25,4,3.0,standalone_parent,202604
DMH,-1:-0.5,10:25,2,0.0,standalone_parent,202604
DMH,-1:-0.5,5:10,3,1.0,standalone_parent,202604
DMH,-1:-0.5,>25,7,3.0,standalone_parent,202604
DMH,-2:-1,5:10,4,0.0,standalone_parent,202604
DMH,-2:-1,>25,5,1.0,standalone_parent,202604
DMH,-5:-2,10:25,1,1.0,standalone_parent,202604
DMH,-5:-2,1:5,2,0.0,standalone_parent,202604
DMH,-5:-2,5:10,9,5.0,standalone_parent,202604
DMH,-5:-2,>25,8,5.0,standalone_parent,202604
DMH,0.5:1,10:25,1,0.0,standalone_parent,202604
DMH,0.5:1,5:10,7,0.0,standalone_parent,202604
DMH,0.5:1,>25,6,1.0,standalone_parent,202604
DMH,0:0.5,5:10,3,0.0,standalone_parent,202604
DMH,0:0.5,>25,3,0.0,standalone_parent,202604
DMH,1:2,10:25,1,1.0,standalone_parent,202604
DMH,1:2,1:5,2,0.0,standalone_parent,202604
DMH,1:2,5:10,12,4.0,standalone_parent,202604
DMH,1:2,>25,15,6.0,standalone_parent,202604
DMH,2:5,1:5,1,0.0,standalone_parent,202604
DMH,2:5,5:10,15,3.0,standalone_parent,202604
DMH,2:5,>25,11,9.0,standalone_parent,202604
DMH,<-10,5:10,2,0.0,standalone_parent,202604
DMH,<-10,>25,2,0.0,standalone_parent,202604
DMH,>5,1:5,1,0.0,standalone_parent,202604
DMH,>5,5:10,2,1.0,standalone_parent,202604
DML,-0.5:0,10:25,20,0.0,standalone_parent,202604
DML,-0.5:0,5:10,8,0.0,standalone_parent,202604
DML,-0.5:0,>25,21,0.0,standalone_parent,202604
DML,-10:-5,0:1,1,0.0,standalone_parent,202604
DML,-10:-5,10:25,36,0.0,standalone_parent,202604
DML,-10:-5,5:10,10,0.0,standalone_parent,202604
DML,-10:-5,>25,25,2.0,standalone_parent,202604
DML,-1:-0.5,10:25,12,0.0,standalone_parent,202604
DML,-1:-0.5,5:10,7,0.0,standalone_parent,202604
DML,-1:-0.5,>25,19,0.0,standalone_parent,202604
DML,-2:-1,10:25,44,0.0,standalone_parent,202604
DML,-2:-1,5:10,11,0.0,standalone_parent,202604
DML,-2:-1,>25,26,0.0,standalone_parent,202604
DML,-5:-2,10:25,87,0.0,standalone_parent,202604
DML,-5:-2,5:10,25,0.0,standalone_parent,202604
DML,-5:-2,>25,68,4.0,standalone_parent,202604
DML,0.5:1,10:25,23,0.0,standalone_parent,202604
DML,0.5:1,5:10,5,0.0,standalone_parent,202604
DML,0.5:1,>25,19,0.0,standalone_parent,202604
DML,0:0.5,10:25,18,0.0,standalone_parent,202604
DML,0:0.5,5:10,5,0.0,standalone_parent,202604
DML,0:0.5,>25,22,0.0,standalone_parent,202604
DML,1:2,10:25,52,1.0,standalone_parent,202604
DML,1:2,5:10,10,0.0,standalone_parent,202604
DML,1:2,>25,53,0.0,standalone_parent,202604
DML,2:5,10:25,90,0.0,standalone_parent,202604
DML,2:5,5:10,14,1.0,standalone_parent,202604
DML,2:5,>25,123,0.0,standalone_parent,202604
