auction_id,product,family,direction,delivery_start_utc,delivery_end_utc,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,availability_payment_per_mw_gbp,minimum_mw,whole_mw,bm_required,response_seconds,energy_guard_hours
2661,DCH,Dynamic Containment,downward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,1043,1.11,4.44,1,True,False,1.0,0.25
2661,DCL,Dynamic Containment,upward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,890,1.1,4.4,1,True,False,1.0,0.25
2661,DMH,Dynamic Moderation,downward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,580,-0.4,-1.6,1,True,False,1.0,0.5
2661,DML,Dynamic Moderation,upward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,530,4.95,19.8,1,True,False,1.0,0.5
2661,DRH,Dynamic Regulation,downward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,500,-9.19,-36.76,1,True,False,10.0,1.0
2661,DRL,Dynamic Regulation,upward,2026-03-31 22:00:00+00:00,2026-04-01 02:00:00+00:00,4.0,480,18.23,72.92,1,True,False,10.0,1.0
2661,NBR,Balancing Reserve,downward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,197,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,489,8.29,4.145,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-03-31 22:00:00+00:00,2026-03-31 22:30:00+00:00,0.5,1642,11.83,5.915,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,300,0.5,0.25,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,200,1.83,0.915,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,300,1.39,0.695,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-03-31 22:30:00+00:00,2026-03-31 23:00:00+00:00,0.5,1672,11.34,5.67,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,197,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,303,1.07,0.535,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-03-31 23:00:00+00:00,2026-03-31 23:30:00+00:00,0.5,1702,10.74,5.37,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,200,8.24,4.12,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,303,0.9,0.45,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-03-31 23:30:00+00:00,2026-04-01 00:00:00+00:00,0.5,1724,10.18,5.09,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,300,1.53,0.765,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,200,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,301,1.25,0.625,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 00:00:00+00:00,2026-04-01 00:30:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,200,0.5,0.25,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,302,1.26,0.63,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 00:30:00+00:00,2026-04-01 01:00:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,300,1.05,0.525,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,200,0.77,0.385,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,302,1.4,0.7,1,True,False,60.0,1.0
2661,PSR,Slow Reserve,upward,2026-04-01 01:00:00+00:00,2026-04-01 01:30:00+00:00,0.5,1797,6.89,3.445,1,True,False,900.0,1.0
2661,NBR,Balancing Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,0,0.0,0.0,1,True,True,,0.5
2661,NQR,Quick Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,300,1.0,0.5,1,True,False,60.0,1.0
2661,NSR,Slow Reserve,downward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,70,0.0,0.0,1,True,False,900.0,1.0
2661,PBR,Balancing Reserve,upward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,200,1.0,0.5,1,True,True,,0.5
2661,PQR,Quick Reserve,upward,2026-04-01 01:30:00+00:00,2026-04-01 02:00:00+00:00,0.5,300,6.73,3.365,1,True,False,60.0,1.0
