technology_group,zone,proxy_capacity_mw,project_count,proxy_share
wind,Inverness,6184.7,153,0.2040909263405563
wind,Edinburgh,8155.1,205,0.2691127966433086
wind,Newcastle,899.15,68,0.029671343221031127
wind,Manchester,3274.5,54,0.1080562902488644
wind,Leeds,722.7,53,0.02384861229587855
wind,Birmingham,372.6,35,0.01229554855603203
wind,Norwich,7584.8,58,0.25029328150239327
wind,Cardiff,1067.4,74,0.03522347967984055
wind,Bristol,66.0,13,0.002177955460810826
wind,London,1976.7,38,0.06522976605128425
solar,Inverness,11.76,9,0.0010772634211357985
solar,Edinburgh,72.99,29,0.0066861783255698914
solar,Newcastle,177.39,29,0.016249639309122387
solar,Manchester,456.83,90,0.04184747012563493
solar,Leeds,645.42,91,0.05912307459774379
solar,Birmingham,1566.55,186,0.14350229697111266
solar,Norwich,1148.0,113,0.10516142920611365
solar,Cardiff,1926.23,304,0.17645043534816404
solar,Bristol,2305.26,247,0.21117111175233938
solar,London,2606.12,269,0.23873110094306352
