zone,gsp_group,annual_consumption_gwh,local_authority_count,zone_gsp_weight
Birmingham,_B,16431.2203063,27,0.5079513825215881
Birmingham,_E,14702.037287,19,0.45449577247480905
Birmingham,_H,1214.7600944,2,0.0375528450036028
Bristol,_E,4100.9054643,7,0.2443667836795639
Bristol,_H,9759.8383366,11,0.5815740753620491
Bristol,_L,2921.0192626,3,0.17405914095838707
Cardiff,_K,10002.033336800001,16,0.5340268970885022
Cardiff,_L,8727.42278485,13,0.46597310291149785
Edinburgh,_N,14351.244739900001,20,0.8472978676833749
Edinburgh,_P,2586.4170757,5,0.15270213231662513
Inverness,_P,4393.9896549000005,7,1.0
Leeds,_B,2502.0310816,6,0.10555547683377169
Leeds,_F,3696.5192718,2,0.15594844413785539
Leeds,_M,17504.9196763,15,0.7384960790283729
London,_A,22615.2443079,37,0.28339593553416054
London,_B,1252.878304,1,0.015700056751034166
London,_C,21830.333383,19,0.27356006717719944
London,_H,17264.951268599998,25,0.21635039401309586
London,_J,16837.4701389,36,0.21099354652450997
Manchester,_B,1552.721626,4,0.049547965977894064
Manchester,_D,12216.0725563,15,0.38981974442020023
Manchester,_E,1644.5147263,3,0.05247712039586042
Manchester,_G,15228.2774564,23,0.48594040340340977
Manchester,_M,696.1607121,1,0.022214765802635445
Newcastle,_F,9931.03479,12,0.8078470281903284
Newcastle,_G,2362.177221,2,0.19215297180967164
Norwich,_A,8623.1500479,16,0.8600965311099119
Norwich,_B,1402.6432625,3,0.13990346889008812
