zone,latitude,longitude,domestic_consumption_gwh,non_domestic_consumption_gwh,annual_consumption_gwh,local_authority_count,annual_consumption_share
Birmingham,52.4862,-1.8904,12914.27366789,19433.74402127,32348.0176877,48,0.13130812512403575
Bristol,51.4545,-2.5879,7154.8964028,9626.8666617,16781.7630635,21,0.06812107825024062
Cardiff,51.4816,-3.1791,7552.13797338,11177.31814825,18729.45612165,29,0.07602721723692794
Edinburgh,55.9533,-3.1883,6926.29327408,10011.36854153,16937.6618156,25,0.0687539075334771
Inverness,57.4778,-4.2247,1866.12078709,2527.86886701,4393.9896549000005,7,0.01783622566827993
Leeds,53.8008,-1.5491,8946.7949887,14756.6750407,23703.4700297,23,0.09621789621183369
London,51.5074,-0.1278,31272.20209916,48528.67530366,79800.8774024,118,0.32393031610547557
Manchester,53.4808,-2.2426,12143.8682308,19193.878845799998,31337.7470771,46,0.12720720181471523
Newcastle,54.9783,-1.6178,4392.8725408,7900.3394694,12293.212011,14,0.0499010058823626
Norwich,52.6309,1.2974,4275.3641709,5750.4291396,10025.7933104,19,0.0406970261726516
