portfolio_type,settlement_date,gross_exposure_before_gbp,gross_exposure_after_gbp,signed_cashflow_before_gbp,signed_cashflow_after_gbp,absolute_imbalance_before_mwh,absolute_imbalance_after_mwh,peak_system_price_gbp_per_mwh,gross_exposure_reduction_gbp
wind,2025-04-01,5711.261070382796,2312.654471938415,-1170.6684754936343,-47.0047356000191,128.4781495892493,73.53453834320274,126.83,3398.606598444381
wind,2025-04-02,8033.339520423372,4349.430643415932,279.12743169308817,-1913.6780179777877,121.06202375995295,91.48301184839073,144.5,3683.9088770074404
wind,2025-04-03,10556.607551535093,7834.88566730177,-9437.49719860371,-7834.88566730177,105.44976409983713,79.4142934637678,175.12,2721.721884233323
wind,2025-04-04,11935.373130764588,11935.373130764588,-11581.531533877545,-11581.531533877545,157.48789732406766,157.48789732406766,134.0,0.0
wind,2025-04-05,5388.058766540759,3807.7929520377793,2903.1279401884035,1426.9375641670633,81.57377272907476,65.87174011480036,123.0,1580.26581450298
wind,2025-04-06,2814.323258033685,1414.430374224518,-1100.4117861488544,-710.1874087287695,79.60364286768915,49.42578850332503,137.24,1399.892883809167
wind,2025-04-07,6822.511730214658,2613.019097770282,5298.48144232473,1893.2653377272848,77.51984466606024,33.157703366379124,185.0,4209.492632444377
wind,2025-04-08,8612.565149828139,8612.565149828139,8612.565149828139,8612.565149828139,99.726934207684,99.726934207684,181.0,0.0
wind,2025-04-09,2339.767822979185,198.71792432113924,-677.7675756797793,198.71792432113924,28.359900854015898,2.8294280471402606,123.791925,2141.0498986580455
wind,2025-04-10,4593.8766593564305,202.4066350466871,-1115.310846195128,202.4066350466871,60.016221144579745,3.3833679987008902,128.1,4391.470024309743
wind,2025-04-11,4636.331716598573,491.58226604141396,2321.230170586309,293.1079547188549,60.17967743227834,6.214871202495563,119.12,4144.7494505571585
wind,2025-04-12,5954.524958649984,1618.0938721523999,-342.8924482402965,1553.1260013568844,78.0002546384186,27.429352109761687,129.5,4336.431086497584
wind,2025-04-13,6423.032387672598,2765.700505678347,-1087.654734804209,-910.5283552372222,113.26545775331425,52.3464399538278,130.0,3657.331881994251
wind,2025-04-14,10336.196398668078,4228.052091124561,2833.508936541244,1278.8559948864925,132.97313217873324,59.94229456533171,130.0,6108.144307543517
wind,2025-04-15,5876.288508840829,4326.026970755317,2799.2827176527985,4326.026970755317,67.50600807878546,48.358059922887946,130.0,1550.2615380855123
wind,2025-04-16,10097.089700934108,4922.821229562703,1160.9449337102674,-63.32165071599104,142.91173128234664,74.84669380675817,110.5,5174.268471371405
wind,2025-04-17,6895.486055078518,5794.81540378899,5962.216533957616,5794.81540378899,79.84824485776824,68.10435724475423,127.5,1100.670651289528
wind,2025-04-18,11068.048703281916,7092.911163825832,-10818.872702547005,-7092.911163825832,123.50818375737389,78.94290932943747,135.0,3975.1375394560846
wind,2025-04-19,8070.926040660057,5020.7466164856,-1970.5671923111408,-5020.7466164856,132.0814091153951,100.35694655399774,130.0,3050.1794241744574
wind,2025-04-20,6104.798752625823,4084.5533209513314,3369.5026828947507,4084.5533209513314,64.59097449721042,40.015422597397226,130.0,2020.2454316744916
wind,2025-04-21,3759.954814200399,0.0,102.39013673905778,0.0,39.902018656649105,0.0,118.52,3759.954814200399
wind,2025-04-22,4106.00145376811,1803.3769474568794,2397.542020938202,1803.3769474568794,56.33062916950784,21.8219795046572,129.0,2302.6245063112306
wind,2025-04-23,7597.884525524545,6339.613903561012,6226.461401647381,6339.613903561012,88.23211358269705,68.2487660127853,136.9,1258.270621963533
wind,2025-04-24,4608.732329617354,1325.9744575336906,-68.98595161961478,1325.9744575336906,61.05417711905573,21.588220962346096,109.5,3282.7578720836627
wind,2025-04-25,4036.7655625092016,354.8647760548878,-2113.2587933746704,-354.8647760548878,42.45357682413579,3.564869027590234,117.9,3681.9007864543137
wind,2025-04-26,3748.7212905572387,0.0,-891.1885245530867,0.0,50.99122103313822,0.0,113.55,3748.7212905572387
wind,2025-04-27,4887.958162925566,4807.458536026983,-3340.77933712096,-3260.279710222377,89.33142307912298,88.02588258449791,105.0,80.4996268985833
wind,2025-04-28,5338.639382423198,627.0952749738201,2072.1508619448136,-627.0952749738201,57.42900191884926,8.079361888745543,204.10638114478115,4711.544107449378
wind,2025-04-29,3261.9937397935278,0.0,326.81765361328667,0.0,34.47064414350846,0.0,140.0,3261.9937397935278
wind,2025-04-30,6960.113985208688,2121.3515162597428,122.49082267492139,2121.3515162597428,80.74446170975132,30.76679198527635,120.0,4838.762468948946
wind,2025-05-01,3573.2354417197535,1017.872715093949,-2379.327631714324,-1017.872715093949,53.5744675426385,18.209559538061676,117.5,2555.3627266258045
wind,2025-05-02,3159.6242628565997,2408.0307720203596,-2192.096308056315,-2408.0307720203596,47.96427703351729,37.00199715870079,114.5,751.5934908362401
wind,2025-05-03,2373.062164585936,2117.767822888953,-2116.5653237870806,-2117.767822888953,52.73308399619207,46.20368395529661,92.5,255.29434169698288
wind,2025-05-04,3900.471982372831,3277.2612753840867,1780.174870755943,2347.4989875071233,125.6640421800133,83.11732301061306,105.0,623.2107069887443
wind,2025-05-05,5513.516922717385,5173.961061884311,4834.405201051238,5173.961061884311,69.54417897175739,65.50399991907821,111.5,339.5558608330739
wind,2025-05-06,3633.125980557284,2040.078639079062,2188.460270088664,2040.078639079062,48.14112903479777,24.722693733219092,154.12,1593.047341478222
wind,2025-05-07,6836.603688684167,6836.603688684167,6836.603688684167,6836.603688684167,72.26891698315177,72.26891698315177,141.87,0.0
wind,2025-05-08,6660.572055665898,5412.345354656414,5465.5853139449,5412.345354656414,67.96141584724407,54.465570537220614,137.45,1248.2267010094838
