power_mw,duration_hours,energy_mwh,classification,development_overall_absorbed_pct,development_days_meeting_target_pct,development_days80_pct,development_days90_pct,development_days95_pct,development_p05_daily_absorbed_pct,development_median_daily_absorbed_pct,locked_overall_absorbed_pct,locked_days_meeting_target_pct,locked_days80_pct,locked_days90_pct,locked_days95_pct,locked_p05_daily_absorbed_pct,locked_median_daily_absorbed_pct,full_overall_absorbed_pct,full_days_meeting_target_pct,full_days80_pct,full_days90_pct,full_days95_pct,power_limited_periods,energy_limited_periods,equivalent_full_cycles,grid_reset_import_mwh,grid_reset_export_mwh,mean_daily_grid_reset_import_mwh,ending_soc_pct,wind_share_pct,design_operating_mode
5.0,1.0,5.0,short-duration BESS,18.906704226347827,2.2222222222222223,4.166666666666666,2.2222222222222223,1.6666666666666667,3.3036437308521145,22.66877452140399,18.004437686310325,1.1111111111111112,2.2222222222222223,1.1111111111111112,1.1111111111111112,3.4875584589092528,20.822528388619908,18.694071389170574,2.0,3.7777777777777777,2.0,1.5555555555555556,1891,7001,354.49037123520344,454.77493796004205,268.48763115355604,1.0106109732445379,10.0,0,grid_connected_daily_soc_restore_50pct
5.0,2.0,10.0,short-duration BESS,28.902610445282694,9.722222222222223,12.222222222222221,9.722222222222223,8.055555555555555,6.141594680692612,35.41131632973921,27.071189052684197,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.562623360370376,29.96382993024747,28.471008131005227,8.222222222222223,10.222222222222223,8.222222222222223,6.888888888888889,1891,5708,269.94382421282467,854.6391007981341,580.669577389143,1.8991980017736314,10.0,0,grid_connected_daily_soc_restore_50pct
10.0,1.0,10.0,short-duration BESS,28.979720273672495,10.0,12.5,10.0,8.055555555555555,6.141594680692612,35.41131632973921,27.17989524798582,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.562623360370376,29.96382993024747,28.555564123962608,8.444444444444445,10.444444444444445,8.444444444444445,6.888888888888889,358,5762,270.7455298634992,854.9833728815618,580.4646308425307,1.899963050847915,10.0,0,grid_connected_daily_soc_restore_50pct
15.0,1.0,15.0,short-duration BESS,36.545556613256636,16.11111111111111,21.11111111111111,16.11111111111111,13.61111111111111,9.203795126425614,45.64156634999661,34.46823292949966,3.3333333333333335,7.777777777777778,3.3333333333333335,3.3333333333333335,9.45570871928413,39.34163070336828,36.05600368292809,13.555555555555557,18.444444444444443,13.555555555555557,11.555555555555555,59,4961,227.90658893463117,1217.8121698217426,905.091579444083,2.706249266270539,10.0,0,grid_connected_daily_soc_restore_50pct
5.0,4.0,20.0,short-duration BESS,42.72291877706647,22.77777777777778,29.444444444444446,22.77777777777778,18.88888888888889,12.271616279397113,54.50884555518952,40.17764622246228,6.666666666666667,17.77777777777778,6.666666666666667,4.444444444444445,12.233741689011444,46.335148304059345,42.12308657598277,19.555555555555557,27.111111111111114,19.555555555555557,16.0,1891,4225,199.6920345364539,1547.5892731757538,1236.7773806375149,3.439087273723897,10.0,0,grid_connected_daily_soc_restore_50pct
10.0,2.0,20.0,short-duration BESS,43.003334867306144,23.055555555555557,30.0,23.055555555555557,19.444444444444446,12.271616279397113,54.50884555518951,40.64726715693835,7.777777777777778,20.0,7.777777777777778,4.444444444444445,12.233741689011444,46.79867678661417,42.448091666315456,20.0,28.000000000000004,20.0,16.444444444444446,358,4382,201.23277936307448,1553.3990616659935,1244.5564488528962,3.451997914813319,10.0,0,grid_connected_daily_soc_restore_50pct
20.0,1.0,20.0,short-duration BESS,43.003334867306144,23.055555555555557,30.0,23.055555555555557,19.444444444444446,12.271616279397113,54.50884555518951,40.64726715693835,7.777777777777778,20.0,7.777777777777778,4.444444444444445,12.233741689011444,46.79867678661417,42.448091666315456,20.0,28.000000000000004,20.0,16.444444444444446,7,4389,201.23277936307443,1553.3990616659935,1244.5564488528962,3.451997914813319,10.0,0,grid_connected_daily_soc_restore_50pct
25.0,1.0,25.0,short-duration BESS,48.67784975750481,30.833333333333336,36.11111111111111,30.833333333333336,26.944444444444443,15.33943743236861,63.464339465222736,46.27044185754847,16.666666666666664,24.444444444444443,16.666666666666664,11.11111111111111,15.011774658738734,54.16654245163756,48.11050745975168,28.000000000000004,33.77777777777778,28.000000000000004,23.77777777777778,1,3890,182.4611802820133,1871.9782199641902,1560.8528027079471,4.159951599920423,10.0,0,grid_connected_daily_soc_restore_50pct
5.0,6.0,30.0,extended-duration BESS,52.61441560945168,33.88888888888889,40.55555555555556,33.88888888888889,30.277777777777775,17.9451482013852,71.44369050948517,50.311064958311306,21.11111111111111,32.22222222222222,21.11111111111111,17.77777777777778,17.78980762846604,61.9741759771667,52.07159598550144,31.333333333333336,38.88888888888889,31.333333333333336,27.77777777777778,1891,3197,164.56981652485396,2154.1918404774447,1817.3641657137969,4.787092978838766,17.72837672190658,0,grid_connected_daily_soc_restore_50pct
15.0,2.0,30.0,short-duration BESS,53.476404746245066,35.27777777777778,41.66666666666667,35.27777777777778,33.05555555555556,17.9451482013852,72.57015179712806,51.25863061511493,24.444444444444443,34.44444444444444,24.444444444444443,21.11111111111111,17.78980762846604,63.06038620004959,52.953752531190176,33.111111111111114,40.22222222222222,33.111111111111114,30.666666666666664,59,3464,167.35783056826105,2178.120143207418,1857.0276664181797,4.840266984905374,15.42382127323739,0,grid_connected_daily_soc_restore_50pct
30.0,1.0,30.0,short-duration BESS,53.476404746245066,35.27777777777778,41.66666666666667,35.27777777777778,33.05555555555556,17.9451482013852,72.57015179712806,51.25863061511493,24.444444444444443,34.44444444444444,24.444444444444443,21.11111111111111,17.78980762846604,63.06038620004959,52.953752531190176,33.111111111111114,40.22222222222222,33.111111111111114,30.666666666666664,0,3464,167.35783056826105,2178.120143207418,1857.0276664181797,4.840266984905374,15.42382127323739,0,grid_connected_daily_soc_restore_50pct
5.0,8.0,40.0,extended-duration BESS,60.34595203382109,45.55555555555556,55.27777777777778,45.55555555555556,37.77777777777778,23.90969417143247,84.86740560634661,57.86213747192966,33.33333333333333,42.22222222222222,33.33333333333333,25.555555555555554,23.345873567920627,71.92976882124916,59.760603343737586,43.111111111111114,52.666666666666664,43.111111111111114,35.333333333333336,1891,2460,141.65292048708983,2713.9393781189665,2296.629832974096,6.030976395819925,25.796282541429946,0,grid_connected_daily_soc_restore_50pct
10.0,4.0,40.0,short-duration BESS,61.676986995987534,48.888888888888886,56.666666666666664,48.888888888888886,43.05555555555556,23.90969417143247,87.96581511180753,59.4366118773646,35.55555555555556,46.666666666666664,35.55555555555556,31.11111111111111,23.345873567920624,74.1726244513157,61.1490085143802,46.22222222222222,54.666666666666664,46.22222222222222,40.666666666666664,358,2806,144.94391214776067,2743.619044989001,2369.179791353639,6.096931211086669,24.067865954928045,0,grid_connected_daily_soc_restore_50pct
20.0,2.0,40.0,short-duration BESS,61.696716844878274,48.888888888888886,56.666666666666664,48.888888888888886,43.05555555555556,23.90969417143247,87.96581511180753,59.4653972798904,35.55555555555556,46.666666666666664,35.55555555555556,31.11111111111111,23.345873567920624,74.1726244513157,61.170872442255565,46.22222222222222,54.666666666666664,46.22222222222222,40.666666666666664,7,2820,144.99573708030113,2744.2433674325525,2370.6980112579236,6.098318594294561,24.067865954928045,0,grid_connected_daily_soc_restore_50pct
40.0,1.0,40.0,short-duration BESS,61.696716844878274,48.888888888888886,56.666666666666664,48.888888888888886,43.05555555555556,23.90969417143247,87.96581511180753,59.4653972798904,35.55555555555556,46.666666666666664,35.55555555555556,31.11111111111111,23.345873567920624,74.1726244513157,61.170872442255565,46.22222222222222,54.666666666666664,46.22222222222222,40.666666666666664,0,2820,144.99573708030113,2744.2433674325525,2370.6980112579236,6.098318594294561,24.067865954928045,0,grid_connected_daily_soc_restore_50pct
25.0,2.0,50.0,short-duration BESS,68.39345588099148,57.77777777777777,65.0,57.77777777777777,54.44444444444444,29.88549790840821,100.0,66.1162500695285,47.77777777777778,55.55555555555556,47.77777777777778,44.44444444444444,28.89819869374831,85.0667766870474,67.8567976862769,55.77777777777778,63.11111111111111,55.77777777777778,52.44444444444445,1,2302,128.67491998867132,3271.631432287418,2780.824233166789,7.270292071749818,29.25429276394244,0,grid_connected_daily_soc_restore_50pct
50.0,1.0,50.0,short-duration BESS,68.39345588099148,57.77777777777777,65.0,57.77777777777777,54.44444444444444,29.88549790840821,100.0,66.1162500695285,47.77777777777778,55.55555555555556,47.77777777777778,44.44444444444444,28.89819869374831,85.0667766870474,67.8567976862769,55.77777777777778,63.11111111111111,55.77777777777778,52.44444444444445,0,2302,128.67491998867132,3271.631432287418,2780.824233166789,7.270292071749818,29.25429276394244,0,grid_connected_daily_soc_restore_50pct
5.0,12.0,60.0,extended-duration BESS,70.80632403202831,56.388888888888886,67.77777777777779,56.388888888888886,47.77777777777778,35.86130164538396,94.24347376347895,68.68392180531407,45.55555555555556,55.55555555555556,45.55555555555556,40.0,34.428772905280894,84.58270750669092,70.30614765723024,54.22222222222223,65.33333333333333,54.22222222222223,46.22222222222222,1891,1336,111.09962736441958,3637.591147323348,2950.4773236068886,8.083535882940774,33.86418836095325,0,grid_connected_daily_soc_restore_50pct
10.0,6.0,60.0,extended-duration BESS,73.80440643472588,65.27777777777779,71.66666666666667,65.27777777777779,62.22222222222222,35.86130164538395,100.0,71.54554211716196,54.44444444444444,62.22222222222222,54.44444444444444,51.11111111111111,34.428772905280894,97.2845242471955,73.27207069209476,63.11111111111111,69.77777777777779,63.11111111111111,60.0,358,1869,115.7864571075525,3741.8370262504545,3113.720145712306,8.315193391667677,32.71191063661866,0,grid_connected_daily_soc_restore_50pct
