portfolio_type,initial_soc_case,power_mw,duration_hours,energy_mwh,error_reduction_pct,equivalent_full_cycles,power_limited_periods,energy_limited_periods,meets_target
wind,initial_50pct,25.0,4.0,100.0,45.71406068303667,128.58103292705937,7,9178,False
wind,initial_50pct,25.0,8.0,200.0,58.140221164911964,81.76619600505225,7,7228,False
wind,initial_50pct,50.0,4.0,200.0,58.140221164911964,81.76619600505225,0,7228,False
wind,initial_50pct,25.0,12.0,300.0,64.75365479538591,60.71138503842248,7,5920,False
wind,initial_50pct,25.0,16.0,400.0,68.03670207851191,47.842115202051566,7,5327,False
wind,initial_50pct,50.0,8.0,400.0,68.03670207851191,47.842115202051566,0,5328,False
wind,initial_50pct,25.0,24.0,600.0,71.93557860969806,33.72248736179663,7,4649,False
wind,initial_50pct,50.0,12.0,600.0,71.93557860969806,33.72248736179663,0,4650,False
wind,initial_50pct,50.0,16.0,800.0,75.08916887654308,26.40063787683558,0,4123,False
wind,initial_50pct,25.0,36.0,900.0,76.41632001789063,23.882001422597952,7,3891,False
wind,initial_50pct,25.0,48.0,1200.0,79.51428695088578,18.637644880373696,7,3407,False
wind,initial_50pct,50.0,24.0,1200.0,79.51752892415679,18.63840477836,0,3407,False
wind,initial_50pct,50.0,36.0,1800.0,82.62486603256278,12.91116326767405,0,2962,True
wind,initial_50pct,50.0,48.0,2400.0,85.26691433060802,9.99301213831369,0,2444,True
solar,initial_50pct,25.0,4.0,100.0,60.57099373580952,57.42952834750283,1,3729,False
solar,initial_50pct,25.0,8.0,200.0,70.84820996928862,33.586862554606185,1,2820,False
solar,initial_50pct,50.0,4.0,200.0,70.84820996928862,33.586862554606185,0,2821,False
solar,initial_50pct,25.0,12.0,300.0,76.68704894638044,24.23657914854819,1,2260,False
solar,initial_50pct,25.0,16.0,400.0,80.54290578444004,19.09140335022741,1,1913,True
solar,initial_50pct,50.0,8.0,400.0,80.54594113946601,19.092122832428196,0,1913,True
solar,initial_50pct,25.0,24.0,600.0,86.32401984691836,13.64114911308914,1,1363,True
solar,initial_50pct,50.0,12.0,600.0,86.32705520194433,13.641628767889669,0,1363,True
solar,initial_50pct,50.0,16.0,800.0,91.59354263709567,10.855389743703933,0,877,True
solar,initial_50pct,25.0,36.0,900.0,93.11168436941088,9.809169166020693,1,739,True
solar,initial_50pct,25.0,48.0,1200.0,93.86211744482875,7.41616958064368,1,667,True
solar,initial_50pct,50.0,24.0,1200.0,93.86211744482875,7.41616958064368,0,667,True
solar,initial_50pct,50.0,36.0,1800.0,95.36298359566453,5.023169995266665,0,476,True
solar,initial_50pct,50.0,48.0,2400.0,96.86384974650029,3.826670202578158,0,326,True
mixed,initial_50pct,25.0,4.0,100.0,55.79085132000199,89.26119947516995,0,7422,False
mixed,initial_50pct,25.0,8.0,200.0,66.45006186397914,53.157570523139796,0,5428,False
mixed,initial_50pct,50.0,4.0,200.0,66.45006186397914,53.157570523139796,0,5428,False
mixed,initial_50pct,25.0,12.0,300.0,70.48127180222659,37.58825872433974,0,4765,False
mixed,initial_50pct,25.0,16.0,400.0,73.68753656752153,29.473640143349513,0,4248,False
mixed,initial_50pct,50.0,8.0,400.0,73.68753656752153,29.473640143349513,0,4248,False
mixed,initial_50pct,25.0,24.0,600.0,77.73596242241565,20.72862331371128,0,3694,False
mixed,initial_50pct,50.0,12.0,600.0,77.73596242241565,20.72862331371128,0,3694,False
mixed,initial_50pct,50.0,16.0,800.0,80.65704081246767,16.130655920053687,0,3201,True
mixed,initial_50pct,25.0,36.0,900.0,81.4311761309667,14.475978456740233,0,3092,True
mixed,initial_50pct,25.0,48.0,1200.0,83.75358208646375,11.166623530113327,0,2766,True
mixed,initial_50pct,50.0,24.0,1200.0,83.75358208646375,11.166623530113327,0,2766,True
mixed,initial_50pct,50.0,36.0,1800.0,88.39839399745792,7.8572686034864265,0,1990,True
mixed,initial_50pct,50.0,48.0,2400.0,92.20053167618518,6.146415477736609,0,1307,True
wind,start_at_minimum_10pct,25.0,4.0,100.0,45.74390882442052,128.66498750892637,7,9182,False
wind,start_at_minimum_10pct,25.0,8.0,200.0,58.26375896225486,81.93993486515944,7,7216,False
wind,start_at_minimum_10pct,50.0,4.0,200.0,58.26375896225486,81.93993486515944,0,7216,False
wind,start_at_minimum_10pct,25.0,12.0,300.0,64.97088224868786,60.9150519912764,7,5885,False
wind,start_at_minimum_10pct,25.0,16.0,400.0,68.3476191877729,48.060746201278846,7,5282,False
wind,start_at_minimum_10pct,50.0,8.0,400.0,68.3476191877729,48.060746201278846,0,5283,False
wind,start_at_minimum_10pct,25.0,24.0,600.0,72.43387503087716,33.956082407397275,7,4574,False
wind,start_at_minimum_10pct,50.0,12.0,600.0,72.43387503087716,33.956082407397275,0,4575,False
wind,start_at_minimum_10pct,50.0,16.0,800.0,75.2868843002179,26.4701527400469,0,4073,False
wind,start_at_minimum_10pct,25.0,36.0,900.0,76.35170440488011,23.86180743574438,7,3893,False
wind,start_at_minimum_10pct,25.0,48.0,1200.0,78.66267822781923,18.438033193390364,7,3531,False
wind,start_at_minimum_10pct,50.0,24.0,1200.0,78.66592020109022,18.43879309137667,0,3531,False
wind,start_at_minimum_10pct,50.0,36.0,1800.0,81.10709360602614,12.673992443161422,0,3183,True
