service_date,delivery_start_utc,product,family,direction,window_hours,cleared_volume_mw,clearing_price_gbp_per_mw_per_hour,forecast_clearing_price_gbp_per_mw_per_hour,prior_same_window_price_gbp_per_mw_per_hour,naive_clearing_price_gbp_per_mw_per_hour
2026-05-01,2026-04-30 23:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.04534292186988064,0.0,0.0
2026-05-01,2026-04-30 23:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,4.66,1.162757472893774,1.91,1.91
2026-05-01,2026-04-30 23:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.2558846894411645,0.0,0.0
2026-05-01,2026-04-30 23:00:00+00:00,PBR,Balancing Reserve,upward,0.5,250,0.98,0.0,0.7,0.7
2026-05-01,2026-04-30 23:00:00+00:00,PQR,Quick Reserve,upward,0.5,314,0.0,0.8494702637086611,0.45,0.45
2026-05-01,2026-04-30 23:00:00+00:00,PSR,Slow Reserve,upward,0.5,1797,1.79,1.8607962083939287,2.46,2.46
2026-05-01,2026-04-30 23:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.11369702081563793,0.0,0.0
2026-05-01,2026-04-30 23:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,2.59,0.8901587707048237,0.0,0.0
2026-05-01,2026-04-30 23:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.25198552875363545,0.0,0.0
2026-05-01,2026-04-30 23:30:00+00:00,PBR,Balancing Reserve,upward,0.5,250,0.98,0.0,0.31,0.31
2026-05-01,2026-04-30 23:30:00+00:00,PQR,Quick Reserve,upward,0.5,331,0.0,0.7924586792053137,0.01,0.01
2026-05-01,2026-04-30 23:30:00+00:00,PSR,Slow Reserve,upward,0.5,1797,1.79,1.8789626730009743,2.46,2.46
2026-05-01,2026-05-01 00:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.053346989658330665,0.0,0.0
2026-05-01,2026-05-01 00:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,2.59,2.4932955627430577,1.91,1.91
2026-05-01,2026-05-01 00:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.2509967548036892,0.0,0.0
2026-05-01,2026-05-01 00:00:00+00:00,PBR,Balancing Reserve,upward,0.5,250,0.98,0.0,0.77,0.77
2026-05-01,2026-05-01 00:00:00+00:00,PQR,Quick Reserve,upward,0.5,349,0.0,0.8872319081919927,1.94,1.94
2026-05-01,2026-05-01 00:00:00+00:00,PSR,Slow Reserve,upward,0.5,1800,10.49,1.6773732320716728,1.92,1.92
2026-05-01,2026-05-01 00:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.05355576391587953,0.0,0.0
2026-05-01,2026-05-01 00:30:00+00:00,NQR,Quick Reserve,downward,0.5,300,2.59,3.1176579918665364,1.91,1.91
2026-05-01,2026-05-01 00:30:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.2529352857877493,0.0,0.0
2026-05-01,2026-05-01 00:30:00+00:00,PBR,Balancing Reserve,upward,0.5,250,0.98,0.0,0.83,0.83
2026-05-01,2026-05-01 00:30:00+00:00,PQR,Quick Reserve,upward,0.5,306,0.0,0.7571265858255825,0.89,0.89
2026-05-01,2026-05-01 00:30:00+00:00,PSR,Slow Reserve,upward,0.5,1817,0.77,2.3280309381656457,1.92,1.92
2026-05-01,2026-05-01 01:00:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.04979179126855073,0.0,0.0
2026-05-01,2026-05-01 01:00:00+00:00,NQR,Quick Reserve,downward,0.5,300,2.59,2.6298904783735404,0.5,0.5
2026-05-01,2026-05-01 01:00:00+00:00,NSR,Slow Reserve,downward,0.5,0,0.0,0.25776795290321614,0.0,0.0
2026-05-01,2026-05-01 01:00:00+00:00,PBR,Balancing Reserve,upward,0.5,250,0.98,0.0,0.73,0.73
2026-05-01,2026-05-01 01:00:00+00:00,PQR,Quick Reserve,upward,0.5,350,0.0,0.7566061560405355,0.79,0.79
2026-05-01,2026-05-01 01:00:00+00:00,PSR,Slow Reserve,upward,0.5,1817,0.77,2.3156422464763287,1.92,1.92
2026-05-01,2026-05-01 01:30:00+00:00,NBR,Balancing Reserve,downward,0.5,0,0.0,0.04204549812996971,0.0,0.0
