settlement_date,settlement_period,wind_share,actual_mw,old_lower_mw,old_upper_mw,new_lower_mw,new_upper_mw
2026-04-01,1,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,2,0.0,0.0,0.0,0.004887401883024722,0.0,0.0059086283699053615
2026-04-01,3,0.0,0.0,0.0,0.005863822843821254,0.0,0.00873362368740172
2026-04-01,4,0.0,0.0,0.0,0.001914153108380001,0.0,0.029908882422130002
2026-04-01,5,0.0,0.0,0.0,0.0035155855584900007,0.0,0.03367963872453
2026-04-01,6,0.0,0.0,0.0,0.004272576188670002,0.0,0.03483685358962
2026-04-01,7,0.0,0.0,0.0,0.0051655544666600025,0.0,0.035895831385379995
2026-04-01,8,0.0,0.0,0.0,0.012973092649781824,0.0,0.0452643369471
2026-04-01,9,0.0,0.0,0.0,0.009582884376869999,0.0,0.0411071050593
2026-04-01,10,0.0,0.0,0.0,0.012973092649781824,0.0,0.0452643369471
2026-04-01,11,0.0,0.0,0.0,0.007010850822550003,0.0,0.0373544084141
2026-04-01,12,0.0,0.0,0.0,0.005004601553079999,0.0,0.034640080411909996
2026-04-01,13,0.0,0.0,0.0,0.005004601553079999,0.0,0.034640080411909996
2026-04-01,14,0.0,0.004304593000731781,0.0,0.08109120244626,0.0,0.22046403214854
2026-04-01,15,0.0,0.42185011407170997,0.27927245548775004,1.19506877868009,0.32776828168243,1.36468378283803
2026-04-01,16,0.0,1.92845766432783,1.93025824786573,5.33648992914493,2.4702328450283297,4.36738932550559
2026-04-01,17,0.0,4.04201282768714,4.706447282373239,11.49689742994166,5.62857417384831,9.13390862818956
2026-04-01,18,0.0,6.19430932805303,7.465325460240581,16.48789611214258,9.011076754606071,13.986107170680201
2026-04-01,19,0.0,8.14428995738452,9.532538555670628,20.195940601825722,11.5387811144262,18.818482698329
2026-04-01,20,0.0,10.02109250570358,11.949155889299782,24.3885502910924,15.52118420274858,23.5112660526019
2026-04-01,21,0.0,12.0959063320563,17.08092498228637,30.122047590356537,20.75604372892793,30.51343594848292
2026-04-01,22,0.0,14.36012225044122,21.689827615056583,34.61482666645594,24.8161024822185,35.2351846194387
2026-04-01,23,0.0,16.34023503077784,24.66200822611333,37.68972851094592,27.141459382878452,39.00492898379558
2026-04-01,24,0.0,17.90280229004347,27.589712267915484,40.75528181847919,30.00687652674709,42.18626502844735
2026-04-01,25,0.0,19.34484094528862,28.602483694460943,41.67169611779773,30.68705341780574,43.85019021889036
2026-04-01,26,0.0,19.10378373724764,27.590435569193914,40.70195652303088,29.996214201247266,42.83178789710565
2026-04-01,27,0.0,20.36072489346132,24.731307566361444,37.759027851194034,27.0471767033461,39.79263981556461
2026-04-01,28,0.0,20.06370797641083,22.114985525803583,35.100397280135994,24.380530512732477,37.17631777500675
2026-04-01,29,0.0,18.0147217080625,17.508348399854583,30.545648744979744,20.984439467644382,32.22533806931419
2026-04-01,30,0.0,17.36042357195127,17.17307078287689,30.210371128002052,20.68866156448528,31.72066792228599
2026-04-01,31,0.0,15.259782187594158,15.149958412558817,28.168998927930478,18.591887103785528,27.76417792047464
2026-04-01,32,0.0,12.819077956179239,13.396417939445698,26.52672334015565,17.31264509976983,25.401491349895128
2026-04-01,33,0.0,12.13464766906289,11.298490521086032,23.51607232383971,14.40198209338461,21.76303018994736
2026-04-01,34,0.0,9.63798372863845,9.000850109802778,18.79160102321413,9.98408743787151,16.42553940596328
2026-04-01,35,0.0,7.45985967026817,6.15871732462101,14.137300489766902,6.78643412134006,11.75245171807156
2026-04-01,36,0.0,4.73935689380569,3.993576941043489,10.070624260302639,4.54999170375922,8.151115540301799
2026-04-01,37,0.0,2.73772114846541,2.7754447688062003,7.275380048443961,3.08187449710477,5.65909168395371
2026-04-01,38,0.0,0.9470104601609901,0.7171068642921802,2.53675094022138,0.6582348279117299,1.94892524732437
2026-04-01,39,0.0,0.12483319702121999,0.031220191158360007,0.28208363814233,0.0,0.51012947525546
2026-04-01,40,0.0,0.0,0.0,0.03854164096992001,0.0,0.09848739747386999
2026-04-01,41,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,42,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,43,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,44,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,45,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,46,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,47,0.0,0.0,0.0,0.0,0.0,0.0010212264868806387
2026-04-01,48,0.0,0.0,0.0,0.006071030475141013,0.0,0.009555483845286377
2026-04-02,1,0.0,0.0,0.0,0.0035709686926566064,0.0,0.004592195179537246
2026-04-02,2,0.0,0.0,0.0,0.0031682066037299977,0.0,0.02232479818932
2026-04-02,3,0.0,0.0,0.0,0.001866463571790003,0.0,0.02890151444891
