settlement_date,guard_windows,arbitrage_value_gbp,qr_only_value_gbp,stacked_value_gbp,stacked_availability_payment_gbp,stacked_pqr_mw_hours,stacked_nqr_mw_hours
2026-04-01,2,3881.396640305612,6378.75,8028.295610384768,4910.75,312.5,287.5
2026-04-02,2,1524.1200826904878,4511.875,5009.664580626249,4104.625,312.5,287.5
2026-04-03,2,7866.524890317687,4983.25,11206.545610625588,3784.3199999999997,210.5,386.5
2026-04-04,2,17474.32019453769,5263.625,19156.296436416433,1783.75,172.5,221.5
2026-04-05,2,16877.20619541956,5173.375,18326.44981245199,1489.6599999999999,201.5,285.5
2026-04-06,2,18154.167618782823,4907.0,20594.87672400986,2793.715,238.5,322.5
2026-04-07,2,20662.492838119277,6057.0,23220.763468626323,2753.9,227.5,291.5
2026-04-08,2,5993.2113341604745,5597.625,8930.849315399832,3907.6800000000003,225.0,320.5
2026-04-09,2,3471.8638177964776,3783.375,6245.677194835519,3018.51,289.0,173.5
2026-04-10,2,9591.660919671984,4749.75,11551.295354363388,2429.87,319.5,171.0
2026-04-11,2,4645.005213883569,4234.0,6966.958787988835,3254.065,200.0,330.5
2026-04-12,2,9689.062674157889,3379.625,11533.60126123223,2044.42,270.5,242.0
2026-04-13,2,5410.903966793839,5075.0,8389.222956419911,3876.005,179.5,296.5
2026-04-14,2,4819.222222222224,4386.625,7036.257387278532,2895.82,303.5,221.0
2026-04-15,2,6902.166821340779,4751.125,9825.054599118557,3656.9,284.0,316.0
2026-04-16,2,3128.8232738803854,5900.125,6738.6849999999995,4725.9,235.0,352.5
2026-04-17,2,8676.440427990477,4826.125,11218.132296333628,3038.07,251.5,298.5
2026-04-18,2,6438.524228653227,3901.625,8780.669797932102,3452.74,313.5,286.0
2026-04-19,2,3952.262365013917,3165.5,5990.038511022176,2343.56,412.5,185.5
2026-04-20,2,2489.013707610229,3720.375,4619.1466666666665,2701.6549999999997,253.0,225.0
2026-04-21,2,9234.476578825665,5404.875,11053.280286435383,2604.88,242.0,223.5
2026-04-22,2,18152.99357112071,5737.375,19981.55633062845,2094.68,289.5,251.0
2026-04-23,2,4653.834910901208,4926.625,7304.807244944905,3480.095,208.0,267.0
2026-04-24,2,2130.4568715473156,4408.625,5520.954870428087,4202.605,246.5,255.5
2026-04-25,2,1992.5253304982925,3732.375,5009.424916782205,3362.5,335.5,239.5
2026-04-26,2,2024.0402342829952,3277.75,4540.603511278088,2733.955,335.0,252.5
2026-04-27,2,4661.621163871943,3910.125,6924.992013455532,2638.95,328.0,271.5
2026-04-28,2,1881.2435814451128,3123.0,4357.2851010613185,2552.46,314.0,228.0
2026-04-29,2,11020.154251342234,4921.25,13104.8596551388,2851.6949999999997,307.5,240.0
2026-04-30,2,17754.966862498724,4707.375,19422.107099784313,1935.415,292.0,169.0
2026-05-01,2,5516.748567777591,3817.875,7403.507495639383,2241.575,284.5,243.5
2026-05-02,2,6117.661734067403,3242.0,7882.206197126163,1812.025,386.5,175.5
2026-05-03,2,583.3500000000022,2390.875,2790.9444444444425,2308.5,318.5,281.5
2026-05-04,2,3201.5968688296116,2884.5,4935.632333969174,1942.7150000000001,421.5,153.0
2026-05-05,2,2844.548830571189,2863.375,4525.19546353694,1930.5,312.5,237.5
2026-05-06,2,4045.773743581611,3171.125,5721.525814373659,2358.515,346.0,241.5
2026-05-07,2,6231.901611613059,3936.625,8296.722179213353,2586.325,299.0,191.5
2026-05-08,2,3295.198150695555,2801.75,4935.983668616632,2067.33,249.0,275.0
2026-05-09,2,7857.256615972611,3118.75,9359.365230104855,1812.195,460.5,125.5
2026-05-10,2,11956.697728418407,3023.625,12969.528885436963,1086.445,315.0,120.5
2026-05-11,2,1235.918218340846,2598.375,3585.7353459901597,2507.875,350.0,178.0
2026-05-12,2,6792.229189051704,3524.5,7985.590022385033,1855.44,253.5,196.0
2026-05-13,2,3132.6589221839686,2184.75,4185.181518825245,1246.5,275.0,212.5
2026-05-14,2,2867.719492582067,3038.5,4184.651172266931,1910.65,339.5,148.0
2026-05-15,2,698.3750000000056,2658.75,2819.6361111111123,2389.935,319.0,268.5
2026-05-16,2,444.73920937049417,1568.0,1819.1666666666686,1530.875,362.5,200.0
2026-05-17,2,5147.728529088508,1941.5,6178.8156586237055,1267.355,299.0,137.5
2026-05-18,2,1297.688638221749,2318.375,3068.168066282039,2083.16,283.0,217.0
2026-05-19,2,4395.202831410206,4235.125,6800.013049613544,3418.79,309.5,150.0
2026-05-20,2,1005.6578166286636,4039.75,4403.414070041401,3744.06,247.5,255.5
2026-05-21,2,5443.8845329331725,2390.875,6691.708185714184,1412.565,300.5,160.0
2026-05-22,2,4562.662899967399,3075.25,6660.488226633442,2316.0,399.0,113.5
2026-05-23,2,2930.589725770132,3671.5,5526.279956606004,3001.42,335.5,152.0
2026-05-24,2,3920.8794849578812,2176.75,4988.989449715375,1610.8100000000002,350.0,159.0
2026-05-25,2,4382.862669699154,2224.75,5760.328147836217,1423.75,450.0,87.5
2026-05-26,2,2852.3899574372836,2402.5,4229.374230235151,1736.9750000000001,350.0,150.0
2026-05-27,2,3961.389202698529,1897.0,4658.352042119115,984.175,334.0,125.0
2026-05-28,2,11322.484942330013,2946.75,12397.308345640136,1249.995,310.5,115.0
