settlement_date,evaluation_segment,wind_forecast_mean_cf,solar_forecast_mean_cf,mixed_forecast_mean_cf,mixed_mean_abs_ramp_cf,mixed_max_abs_ramp_cf,season,wind_outlook,solar_outlook,ramp_stress,absolute_forecast_error_mwh,firming_absorbed_pct,meets_90pct_firming,power_limited_periods,energy_limited_periods,perfect_foresight_margin_gbp,forecast_strategy_margin_gbp,naive_strategy_margin_gbp,reserve_aware_forecast_margin_gbp,reserve_corridor_feasible,mean_reserve_corridor_width_mwh,stage14_available,stage14_day_coverage_pct,stage14_mean_width_mw,stage14_energy_band_feasible,stage14_recommended_start_soc_pct,stage14_downward_reserve_mwh,stage14_upward_headroom_mwh
2025-04-01,development_oof,0.30890105788906413,0.19432552233744593,0.251613290113255,0.014685411801565358,0.05820299685001373,Spring,Medium,High,High-ramp,77.45950682132197,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-02,development_oof,0.3595180020978053,0.19566818612414252,0.27759309411097394,0.016239739664949113,0.049411311745643616,Spring,Medium,High,High-ramp,71.66330529245052,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-03,development_oof,0.32644400993982947,0.17776154426511914,0.2521027771024743,0.01609702812110451,0.0587404221296311,Spring,Medium,High,High-ramp,51.02960293937194,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-04,development_oof,0.31401282610992587,0.19012421702094187,0.25206852156543386,0.014616139307842481,0.05692960321903234,Spring,Medium,High,High-ramp,55.73398865124621,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-05,development_oof,0.38394466290871304,0.19273472277078932,0.2883396928397512,0.013982691583805716,0.049913644790649414,Spring,High,High,High-ramp,52.657265837420304,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-06,development_oof,0.22277635708451268,0.20076080955429157,0.2117685833194021,0.014480900019407278,0.04805957525968557,Spring,Medium,High,High-ramp,55.81229380493672,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-07,development_oof,0.11585337746267514,0.20417505876199962,0.16001421811233738,0.014225519097332528,0.05259203538298607,Spring,Low,High,High-ramp,36.383425651155754,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-08,development_oof,0.10075727415581541,0.18779106121140401,0.1442741676836097,0.013057053056400043,0.04974140226840974,Spring,Low,High,Normal,45.34000608194005,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-09,development_oof,0.10518987709656354,0.18820706258429706,0.1466984698404303,0.01354365217290858,0.05340271070599559,Spring,Low,High,Normal,28.508759352635316,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-10,development_oof,0.11060187375793851,0.17646879574886043,0.14353533475339947,0.012536049641009114,0.05390600487589836,Spring,Low,High,Normal,49.68611028060534,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-11,development_oof,0.14308605172360933,0.20268582147840178,0.17288593660100557,0.012736917730687011,0.0584365613758564,Spring,Low,High,Normal,37.230632591873956,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-12,development_oof,0.159016304804633,0.14486196912412194,0.15193913696437747,0.013867060411939745,0.040896132588386536,Spring,Low,High,High-ramp,44.22795028687795,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-13,development_oof,0.2127259247936308,0.15069748294733165,0.18171170387048122,0.01637990478351033,0.043283179402351435,Spring,Medium,High,High-ramp,83.86384237060685,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-14,development_oof,0.3530624598885576,0.13857205981791287,0.24581725985323521,0.017054892730963434,0.06613670289516449,Spring,Medium,High,High-ramp,69.68485197290431,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-15,development_oof,0.1292069031236072,0.07890941254330146,0.10405815783345433,0.007868724216071618,0.026797465980052948,Spring,Low,Medium,Normal,47.897392264794256,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-16,development_oof,0.5091311304519573,0.1251308112802386,0.317130970866098,0.019485218530311012,0.052173882722854614,Spring,High,Medium,High-ramp,58.36893133771051,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-17,development_oof,0.18681975857665137,0.18039231880053797,0.18360603868859468,0.01419029485001981,0.04303030669689173,Spring,Low,High,High-ramp,40.87391018489304,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-18,development_oof,0.29688816828032333,0.09816944828776282,0.19752880828404307,0.010806338144220724,0.048350214958190973,Spring,Medium,Medium,Normal,52.343789175271574,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-19,development_oof,0.3653253236164649,0.10429148093354945,0.23480840227500718,0.009538204925926644,0.03540028072893625,Spring,High,Medium,Normal,83.63409648437859,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-20,development_oof,0.13639363367110488,0.17781882052313824,0.15710622709712158,0.012598714763403981,0.04030954837799075,Spring,Low,High,Normal,44.65500663483974,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-21,development_oof,0.11594499119867878,0.09729930155996647,0.10662214637932262,0.008772993253387542,0.034218110144138336,Spring,Low,Medium,Normal,29.341577751202962,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-22,development_oof,0.16228823581089571,0.1607172263252702,0.16150273106808297,0.010813053096228481,0.03647522628307337,Spring,Low,High,Normal,24.72289006558666,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-23,development_oof,0.17880219159026936,0.1299751436001012,0.1543886675951853,0.01390738821563294,0.03815021365880972,Spring,Low,Medium,High-ramp,66.40847750070334,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-24,development_oof,0.10056605764354265,0.1386238000544229,0.11959492884898278,0.010272828338656833,0.029947552829980878,Spring,Low,High,Normal,25.392718095563055,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-25,development_oof,0.1604287622806926,0.13286717930517014,0.1466479707929314,0.010571685440178646,0.04570261389017109,Spring,Low,Medium,Normal,26.270546735753726,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-26,development_oof,0.12455008567000425,0.11948339198655349,0.12201673882827886,0.010091374835307464,0.029486261308193207,Spring,Low,Medium,Normal,30.42040899272203,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-27,development_oof,0.2407644956062237,0.19176238479910046,0.21626344020266208,0.01460951908181111,0.04999740421772003,Spring,Medium,High,High-ramp,49.663195459653245,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-28,development_oof,0.1530593068649371,0.19422396738961348,0.1736416371272753,0.01393502665488692,0.04943609982728961,Spring,Low,High,High-ramp,23.278434967282454,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-29,development_oof,0.09120940362724161,0.20662017556446696,0.14891478959585427,0.014228894980154415,0.04403256997466082,Spring,Low,High,High-ramp,23.40379617258413,100.0,True,0,0,,,,,,,False,,,,,,
2025-04-30,development_oof,0.0870021705050021,0.21746447988963757,0.15223332519731983,0.014166713978890279,0.050140947103500394,Spring,Low,High,High-ramp,35.2209957231368,100.0,True,0,0,,,,,,,False,,,,,,
2025-05-01,development_oof,0.13199581826726592,0.199067566802114,0.16553169253468994,0.015007632732401055,0.04286503046751022,Spring,Low,High,High-ramp,28.55373737586609,100.0,True,0,0,3132.9288452927794,2176.741502096816,1826.1752496539184,2296.346810223901,True,119.60153970841964,False,,,,,,
2025-05-02,development_oof,0.13837708206847307,0.1964710557569257,0.16742406891269937,0.012925231500730662,0.04394495487213129,Spring,Low,High,Normal,39.53114902627884,100.0,True,0,0,4447.261136132681,3054.9054246049027,2555.526556440631,2788.232624123648,True,119.79234004186982,False,,,,,,
2025-05-03,development_oof,0.26730775181204075,0.17894819469787152,0.22312797325495615,0.014867828773049041,0.050818294286727905,Spring,Medium,High,High-ramp,23.196949757262992,100.0,True,0,0,7014.254111978029,3188.5251726407187,1334.959395333378,3233.137038097612,True,115.03310881192353,False,,,,,,
2025-05-04,development_oof,0.29077129128078616,0.13499005477880624,0.21288067302979619,0.013183342305183032,0.04646854102611542,Spring,Medium,Medium,Normal,49.64041482684388,100.0,True,0,0,7477.370789349419,4752.628961742502,6307.510059125085,3133.9015975565026,True,115.84114562970858,False,,,,,,
2025-05-05,development_oof,0.22586032903442776,0.13444467478204083,0.18015250190823429,0.01236189228575313,0.03339312225580221,Spring,Medium,Medium,Normal,33.63315064411297,100.0,True,0,0,1275.8487543696383,-975.1258567130384,-2523.1423538821364,-954.0374554130332,True,119.0089699899933,False,,,,,,
2025-05-06,development_oof,0.09482923421698308,0.15372231025996064,0.12427577223847186,0.011421369990178702,0.03272160887718201,Spring,Low,High,Normal,25.742937870983745,100.0,True,0,0,4020.233748144348,3308.188654625522,1838.427767841721,3033.502759197653,True,123.23631226205308,False,,,,,,
2025-05-07,development_oof,0.12329122928592062,0.14927482442400708,0.13628302685496385,0.010480509619014816,0.041311107575893374,Spring,Low,High,Normal,38.49801920852537,100.0,True,0,0,4734.326590647077,3792.371234598845,4218.489057168979,3482.436356349977,True,121.91609491553169,False,,,,,,
2025-05-08,development_oof,0.12259294348768886,0.14539728807706823,0.13399511578237855,0.010569013246292043,0.03537016361951831,Spring,Low,High,Normal,39.6414683861748,100.0,True,0,0,3613.58796384092,2635.161782164704,2402.5293258425154,2246.6078197234174,True,122.8573516775353,False,,,,,,
2025-05-09,development_oof,0.11904135749985771,0.21912611391098832,0.169083735705423,0.0139636732070206,0.04054226726293558,Spring,Low,High,High-ramp,20.876241036517825,100.0,True,0,0,4256.294381138017,1445.345438759951,120.56310489156816,1667.38040622101,True,119.55151011951178,False,,,,,,
2025-05-10,development_oof,0.19854328098396457,0.21644560619953757,0.20749444359175107,0.015011448494533399,0.04856290668249125,Spring,Low,High,High-ramp,42.787782841965175,100.0,True,0,0,3660.88498426464,2152.3317150080047,2936.039534253036,2099.793514583621,True,116.75252301675162,False,,,,,,
2025-05-11,development_oof,0.22713541798293588,0.2139174814437865,0.2205264497133612,0.015638946260044882,0.03950644284486765,Spring,Medium,High,High-ramp,90.16524221832387,84.37931236731603,False,0,16,4659.392228506916,1014.2300096931,1411.3846698879138,604.4606916804051,True,115.9954407816179,False,,,,,,
2025-05-12,development_oof,0.1719050062820315,0.19394627999387615,0.18292564313795381,0.01441546768372367,0.04497382044792175,Spring,Low,High,High-ramp,29.541250584305544,100.0,True,0,0,2769.7756342307694,252.7142992183343,-3920.06626874321,222.8604567106048,True,118.2344995381864,False,,,,,,
2025-05-13,development_oof,0.16275114224602774,0.21807697997655848,0.1904140611112931,0.01379210195553545,0.04291430115699768,Spring,Low,High,High-ramp,34.72075941736708,100.0,True,0,0,5151.541546584669,4433.406410484033,2305.575975983389,4017.179947291384,True,117.87014949599846,False,,,,,,
2025-05-14,development_oof,0.20920643893380955,0.2222076658854348,0.21570705240962218,0.014197796992751444,0.04515808075666433,Spring,Medium,High,High-ramp,25.868930507694483,100.0,True,0,0,1414.0833333333392,500.3119084120517,-159.01587208289106,687.383434743336,True,115.07610094903949,False,,,,,,
2025-05-15,development_oof,0.22267011987666285,0.17673835965494314,0.19970423976580298,0.014203874391114374,0.035809591412544306,Spring,Medium,High,High-ramp,73.3425336393486,100.0,True,0,0,2551.9897737868027,-575.854764946735,556.0972222222279,-465.93118728474286,True,117.1004790453586,False,,,,,,
2025-05-16,development_oof,0.16135017651443676,0.21077862778992082,0.1860644021521788,0.013684449403778368,0.04394396021962166,Spring,Low,High,High-ramp,55.91628341320993,100.0,True,0,0,5627.253569765336,4816.2605119186,850.5494030986677,3986.5493413102754,True,117.48860439523304,False,,,,,,
2025-05-17,development_oof,0.154302650441726,0.19271385850152,0.173508254471623,0.014086576217475034,0.043551765382289914,Spring,Low,High,High-ramp,33.30747380868325,100.0,True,0,0,9285.8232893314,6938.846877263313,6500.78247374187,6558.960188458719,True,119.32103839956284,False,,,,,,
2025-05-18,development_oof,0.1666762653427819,0.19195172063882637,0.1793139929908041,0.014860361193617182,0.04961760342121124,Spring,Low,High,High-ramp,48.29097124395237,100.0,True,0,0,5953.27063891499,5349.812098815125,5258.967232522193,4670.718211099704,True,119.26445989901232,False,,,,,,
2025-05-19,development_oof,0.14075491686041153,0.19962603502729812,0.1701904759438548,0.0138883742077572,0.038988538086414254,Spring,Low,High,High-ramp,47.55008794509457,100.0,True,0,0,3252.693207898177,2502.656233666781,2493.680446382534,1987.0944480963567,True,120.15181678980824,False,,,,,,
2025-05-20,development_oof,0.08406147267669435,0.20343194677843712,0.14374670972756573,0.013543541776016355,0.05247292295098299,Spring,Low,High,Normal,26.015960858601517,100.0,True,0,0,2430.445205124142,2119.5982004766333,1229.7495654378183,1795.2121045530887,True,122.1075742556234,False,,,,,,
