wind_share_pct,stable_design_found,power_mw,energy_mwh,duration_hours,development_days90_pct,locked_days90_pct
0,True,25.0,150.0,6.0,93.88888888888889,91.11111111111111
5,True,25.0,150.0,6.0,94.44444444444444,91.11111111111111
10,True,25.0,150.0,6.0,95.27777777777776,92.22222222222224
15,True,25.0,150.0,6.0,94.44444444444444,92.22222222222224
20,True,25.0,150.0,6.0,95.0,92.22222222222224
25,True,25.0,150.0,6.0,94.7222222222222,93.33333333333331
30,True,25.0,150.0,6.0,92.5,93.33333333333331
35,True,25.0,150.0,6.0,91.38888888888889,93.33333333333331
40,True,10.0,160.0,16.0,90.2777777777778,92.22222222222224
45,True,15.0,180.0,12.0,91.11111111111111,94.44444444444444
50,True,25.0,200.0,8.0,93.33333333333331,95.55555555555556
55,True,25.0,200.0,8.0,90.55555555555556,94.44444444444444
60,True,10.0,240.0,24.0,93.05555555555556,96.66666666666669
65,True,10.0,240.0,24.0,90.83333333333331,96.66666666666669
70,True,15.0,240.0,16.0,90.0,96.66666666666669
75,True,25.0,300.0,12.0,95.27777777777776,97.77777777777776
80,True,25.0,300.0,12.0,93.61111111111111,97.77777777777776
85,True,25.0,300.0,12.0,90.55555555555556,96.66666666666669
90,True,20.0,320.0,16.0,91.11111111111111,96.66666666666669
95,True,20.0,320.0,16.0,90.0,93.33333333333331
100,True,15.0,360.0,24.0,91.11111111111111,95.55555555555556
