group_type,group,days,mean_abs_error_mwh,mean_firming_pct,days_meeting_90_pct,mean_forecast_market_value_gbp,mean_reserve_market_value_gbp,stage14_days,mean_stage14_coverage_pct,mean_stage14_width_mw,stage14_energy_band_feasible_pct,mean_stage14_start_soc_pct,mean_stage14_down_reserve_mwh,mean_stage14_up_headroom_mwh
season,Autumn,91,63.70094552375776,97.90000720737696,91.20879120879121,3591.71438658919,3026.0459940577384,0,,,,,,
season,Spring,153,50.64378506745794,98.82418447150805,95.42483660130719,3395.6311246398036,2887.9395638972037,61,84.87021857923497,7.575066259827481,100.0,50.0,41.84005120338273,36.4312327055974
season,Summer,116,57.94572124152442,97.75251505283524,92.24137931034483,3434.807109690549,2773.239276843934,29,78.08908045977012,7.781387873503096,100.0,50.0,44.0448986079855,39.2164898035516
season,Winter,90,59.24241549612394,98.35589799207293,95.55555555555556,1781.4140950773192,1391.5813404517505,0,,,,,,
wind_outlook,High,141,68.75977393275826,96.6001308564009,87.94326241134752,4385.648916141372,3408.9608047476795,21,74.10714285714286,8.892651315541084,100.0,50.0,34.89930410058004,54.05071568052525
wind_outlook,Low,156,41.464940784014715,99.6932539359679,99.35897435897436,2207.4040786977816,1995.086242001726,36,85.59027777777777,6.143776736078465,100.0,50.0,39.32901332169421,25.913208457903036
wind_outlook,Medium,153,61.667629606704566,98.35004823963375,93.4640522875817,2732.168177108135,2303.9328897343485,33,84.97474747474747,8.47932272896602,100.0,50.0,50.933797495295565,39.14069289602723
solar_outlook,High,189,50.135755877963405,98.9736594315172,95.76719576719577,3870.165457720811,3168.8563336926063,69,83.99758454106279,7.459710131501405,100.0,50.0,42.378178081296255,35.60853048652676
solar_outlook,Low,120,60.85988920908114,98.29469176293944,95.0,2002.7394111089948,1607.2972232203576,0,,,,,,
solar_outlook,Medium,141,62.55291950798715,97.29743830721985,90.0709219858156,3132.535112924209,2672.557549323729,21,78.37301587301587,8.239013862260437,100.0,50.0,43.116709306118324,42.98070456067103
ramp_stress,High-ramp,141,56.15688569903697,98.36965594270744,93.61702127659575,5256.2580810418995,4202.286800903053,51,82.23039215686275,7.835588630627437,100.0,50.0,40.66608784696816,40.75093393294699
ramp_stress,Normal,309,57.219046385394165,98.22071830908004,93.85113268608414,2201.0051646695238,1879.8691393958973,39,83.27991452991452,7.38780179536069,100.0,50.0,45.014735970321794,32.853481250362606
